-- Logs begin at Thu 2020-04-02 06:59:25 UTC, end at Thu 2020-04-02 08:25:06 UTC. --
Apr 02 07:39:53 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 07:39:53 ubuntu dstat.sh[2100]: [286B blob data]
Apr 02 07:39:53 ubuntu dstat.sh[2100]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 02 07:39:53 ubuntu dstat.sh[2100]: 02-04 07:39:53| 17   5  54  22   2| 420M  663M 86.5M 2564M|   0     0 | 234k 2905k|12.7  36.0 | 782  1408 |1.65 1.27 1.20|2.0   0  27|   0     0 |systemd              1    0.5%   0    0 |bash                 3663 2588k2392k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 07:39:54 ubuntu dstat.sh[2100]: 02-04 07:39:54| 20  31  23  23   1| 421M  663M 86.5M 2564M|  15k 1944B|   0  1312k|   0   122 |1459  3595 |1.65 1.27 1.20|  0 2.0 379|   0     0 |bash                 3663 6.5%1128k  23k|bash                 3663 1128k  23k6.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 07:39:55 ubuntu dstat.sh[2100]: 02-04 07:39:55| 18  28  40  13   2| 422M  662M 86.5M 2564M|  12k 2034B|   0    33M|   0  43.0 |1035  3036 |1.65 1.27 1.20|1.0   0 240|   0     0 |systemd              1    3.5%   0    0 |bash                 3663 1797k  15k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 07:39:56 ubuntu dstat.sh[2100]: 02-04 07:39:56| 27  31  38   0   3| 421M  662M 86.5M 2564M|4221B 1728B|   0    16k|   0  4.00 |1350  5631 |1.65 1.27 1.20|3.0   0 214|   0     0 |systemd              1     17%   0    0 |bash                 3663 1534k  13k2.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 07:39:57 ubuntu dstat.sh[2100]: 02-04 07:39:57| 12  15  72   0   1| 546M  537M 86.5M 2686M|5454B 1944B|   0     0 |   0     0 | 859  2390 |1.65 1.27 1.20|  0   0  48|   0     0 |systemd              1    9.0%   0    0 |bash                 3663  116k 392B  0%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 02 07:39:58 ubuntu dstat.sh[2100]: 02-04 07:39:58| 18  23  56   0   3| 548M  535M 86.5M 2686M|7083B 1944B|   0     0 |   0     0 |1293  3197 |1.68 1.28 1.20|1.0   0 295|   0     0 |bash                 3663 6.0% 600k  18k|bash                 3663  600k  18k6.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 07:39:59 ubuntu dstat.sh[2100]: 02-04 07:39:59| 35   6  47  11   1| 568M  514M 86.7M 2687M|6631B 1998B| 804k  212k|91.0  2.00 | 737  1028 |1.68 1.28 1.20|1.0   0 1.0|   0     0 |keystone-manage      3500  38%5157k  81k|keystone-manage      3500 5157k  81k 38%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 07:40:00 ubuntu dstat.sh[2100]: 02-04 07:40:00| 38   3  47  11   1| 587M  494M 87.2M 2687M|4312B 2026B|1088k   44k| 180  1.00 | 715  1144 |1.68 1.28 1.20|1.0   0   0|   0     0 |keystone-manage      3500  39%4445k  46k|keystone-manage      3500 4445k  46k 39%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 07:40:01 ubuntu dstat.sh[2100]: 02-04 07:40:01| 27   3  48  23   0| 599M  481M 87.2M 2688M|5054B 1944B| 580k    0 |43.0     0 | 544   774 |1.68 1.28 1.20|1.0   0   0|   0     0 |keystone-manage      3500  27%3483k 140k|keystone-manage      3500 3483k 140k 27%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 07:40:02 ubuntu dstat.sh[2100]: 02-04 07:40:02| 35  12  40  12   0| 623M  456M 87.3M 2689M|5361B 1944B| 196k 1552k|17.0  28.0 |1038  1883 |1.68 1.28 1.20|3.0   0   0|   0     0 |keystone-manage      3500  31%3267k 481k|keystone-manage      3500 3267k 481k 31%|mysqld       184M|   0     0 |  16    7    0    7    0
Apr 02 07:40:03 ubuntu dstat.sh[2100]: 02-04 07:40:03|  5   4  42  49   1| 625M  452M 87.5M 2690M|4485B 2160B|   0  1208k|   0  80.0 | 650  1284 |1.79 1.31 1.21|  0 1.0   0|   0     0 |keystone-manage      3500 3.0%  36k  33k|keystone-manage      3500   36k  33k3.0%|mysqld       186M|   0     0 |  16    7    0    7    0
