-- Logs begin at Wed 2020-04-01 11:07:14 UTC, end at Wed 2020-04-01 12:53:13 UTC. --
Apr 01 11:50:37 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 11:50:38 ubuntu dstat.sh[2685]: [286B blob data]
Apr 01 11:50:38 ubuntu dstat.sh[2685]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 11:50:38 ubuntu dstat.sh[2685]: 01-04 11:50:38| 16   5  52  25   1| 426M  606M 85.9M 2616M|   0     0 | 254k 3607k|12.1  35.9 | 802  1456 |1.45 1.43 1.34|2.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 3912 2436k2248k0.2%|mysqld       173M|   0     0 |  13    3    0    6    0
Apr 01 11:50:39 ubuntu dstat.sh[2685]: 01-04 11:50:39| 17  31  34   1  16| 421M  610M 85.9M 2616M|  18k 2160B|4096B   96k|1.00  8.00 |1365  3367 |1.42 1.42 1.34|1.0   0 358|   0     0 |bash                 3912 8.5%1197k  23k|bash                 3912 1197k  23k8.5%|mysqld       173M|   0     0 |  13    3    0    5    0
Apr 01 11:50:40 ubuntu dstat.sh[2685]: 01-04 11:50:40| 25  32  38   0   5| 421M  610M 85.9M 2616M|6135B 1944B|   0    20k|   0  5.00 |1507  3688 |1.42 1.42 1.34|2.0   0 282|   0     0 |systemd              1     10%   0    0 |bash                 3912 2135k  18k3.5%|mysqld       173M|   0     0 |  13    3    0    5    0
Apr 01 11:50:41 ubuntu dstat.sh[2685]: 01-04 11:50:41| 28  31  38   0   3| 422M  609M 85.9M 2616M|5367B 2160B|   0    16k|   0  4.00 |1849  5774 |1.42 1.42 1.34|1.0   0 195|   0     0 |systemd              1     18%   0    0 |bash                 3912 1091k9675B2.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Apr 01 11:50:42 ubuntu dstat.sh[2685]: 01-04 11:50:42| 12  24  60   0   4| 546M  484M 85.9M 2738M|4911B 1944B|   0     0 |   0     0 |1517  3477 |1.42 1.42 1.34|3.0   0 227|   0     0 |bash                 3912 4.0% 486k  12k|bash                 3912  486k  12k4.0%|mysqld       173M|   0     0 |  15    5    0    5    0
Apr 01 11:50:43 ubuntu dstat.sh[2685]: 01-04 11:50:43| 38  11  47   2   2| 567M  464M 85.9M 2738M|3794B 2092B|   0   912k|   0  69.0 | 912  1573 |1.42 1.42 1.34|  0 1.0  88|   0     0 |keystone-manage      4084  34%4982k  81k|keystone-manage      4084 4982k  81k 34%|mysqld       173M|   0     0 |  15    5    0    8    0
Apr 01 11:50:44 ubuntu dstat.sh[2685]: 01-04 11:50:44| 11   4  40  44   2| 570M  459M 86.1M 2739M|7555B 2106B| 932k 1268k| 110  17.0 | 611  1008 |1.54 1.45 1.35|  0 1.0   0|   0     0 |keystone-manage      4084  10% 865k   0 |keystone-manage      4084  865k   0  10%|mysqld       173M|   0     0 |  15    5    0    8    0
Apr 01 11:50:45 ubuntu dstat.sh[2685]: 01-04 11:50:45|  3   1  47  47   2| 570M  459M 86.3M 2739M|8858B 2160B| 364k    0 |60.0     0 | 512   939 |1.54 1.45 1.35|  0 1.0   0|   0     0 |keystone-manage      4084 1.5% 189k   0 |keystone-manage      4084  189k   0 1.5%|mysqld       173M|   0     0 |  15    5    0    8    0
Apr 01 11:50:46 ubuntu dstat.sh[2685]: 01-04 11:50:46| 40   2  47   9   1| 590M  438M 86.6M 2740M|5121B 1944B|1156k    0 | 142     0 | 649  1170 |1.54 1.45 1.35|1.0   0 2.0|   0     0 |keystone-manage      4084  40%4679k  46k|keystone-manage      4084 4679k  46k 40%|mysqld       173M|   0     0 |  15    5    0    8    0
Apr 01 11:50:47 ubuntu dstat.sh[2685]: 01-04 11:50:47| 44   6  46   3   1| 613M  414M 86.6M 2741M|5632B 1944B| 224k    0 |21.0     0 | 669   916 |1.54 1.45 1.35|2.0   0   0|   0     0 |keystone-manage      4084  46%5834k 546k|keystone-manage      4084 5834k 546k 46%|mysqld       173M|   0     0 |  15    7    0    8    0
