-- Logs begin at Wed 2020-04-01 01:03:45 UTC, end at Wed 2020-04-01 02:35:31 UTC. --
Apr 01 01:46:32 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 01:46:33 ubuntu dstat.sh[1971]: [286B blob data]
Apr 01 01:46:33 ubuntu dstat.sh[1971]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 01:46:33 ubuntu dstat.sh[1971]: 01-04 01:46:33| 16   5  53  25   2| 422M  661M 84.8M 2566M|   0     0 | 224k 3483k|12.0  36.3 | 848  1491 |1.24 1.23 1.25|3.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 3510 2461k2273k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 01:46:34 ubuntu dstat.sh[1971]: 01-04 01:46:34| 19  33  38   3   7| 422M  660M 84.9M 2567M|7741B 2052B|   0   156k|   0  8.00 |1588  3505 |1.24 1.23 1.25|2.0   0 385|   0     0 |bash                 3510 7.0%1502k  25k|bash                 3510 1502k  25k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 01:46:35 ubuntu dstat.sh[1971]: 01-04 01:46:35| 21  24  41  10   3| 423M  659M 84.9M 2567M|4986B 2160B|   0    20k|   0  5.00 |1514  4529 |1.24 1.23 1.25|1.0   0 195|   0     0 |systemd              1    7.5%   0    0 |bash                 3510 1374k  11k2.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 01:46:36 ubuntu dstat.sh[1971]: 01-04 01:46:36| 26  30  39   0   6| 422M  659M 84.9M 2567M|6034B 1944B|   0    16k|   0  4.00 |1819  6321 |1.22 1.22 1.25|2.0   0 214|   0     0 |systemd              1     14%   0    0 |bash                 3510 1534k  13k3.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 01:46:37 ubuntu dstat.sh[1971]: 01-04 01:46:37| 11  12  77   0   1| 547M  534M 84.9M 2689M|8225B 2160B|   0     0 |   0     0 | 907  2045 |1.22 1.22 1.25|1.0   0  47|   0     0 |systemd              1    8.5%   0    0 |bash                 3510  116k 392B  0%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 01 01:46:38 ubuntu dstat.sh[1971]: 01-04 01:46:38| 17  25  49   3   6| 552M  530M 84.9M 2689M|7950B 1944B|   0  1976k|   0  90.0 |1460  3245 |1.22 1.22 1.25|2.0   0 296|   0     0 |bash                 3510 5.5% 600k  18k|keystone-manage      3368  742k  42k4.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 01:46:39 ubuntu dstat.sh[1971]: 01-04 01:46:39| 37   5  43  13   3| 572M  509M 85.2M 2690M|6033B 2160B|1032k  184k| 136  2.00 | 801  1225 |1.22 1.22 1.25|1.0   0 1.0|   0     0 |keystone-manage      3368  40%5058k  38k|keystone-manage      3368 5058k  38k 40%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 01:46:40 ubuntu dstat.sh[1971]: 01-04 01:46:40| 24   3  47  23   2| 588M  491M 85.8M 2690M|8471B 2160B|1120k    0 | 200     0 | 752  1390 |1.22 1.22 1.25|1.0   0   0|   0     0 |keystone-manage      3368  27%4035k  46k|keystone-manage      3368 4035k  46k 27%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 01:46:41 ubuntu dstat.sh[1971]: 01-04 01:46:41| 43   4  46   4   4| 604M  474M 85.8M 2691M|4624B 2052B| 668k    0 |50.0     0 | 786  1115 |1.20 1.22 1.24|1.0   0   0|   0     0 |keystone-manage      3368  46%4783k 176k|keystone-manage      3368 4783k 176k 46%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 01:46:42 ubuntu dstat.sh[1971]: 01-04 01:46:42| 36  10  34  16   3| 627M  450M 85.9M 2692M|5564B 2052B| 108k 1636k|10.0  35.0 |1164  1890 |1.20 1.22 1.24|  0 1.0   0|   0     0 |keystone-manage      3368  26%2004k 479k|keystone-manage      3368 2004k 479k 26%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 01:46:43 ubuntu dstat.sh[1971]: 01-04 01:46:43|  2   3  46  45   4| 627M  449M 86.1M 2692M|4329B 2160B|   0  1696k|   0   103 | 670  1240 |1.20 1.22 1.24|  0 1.0   0|   0     0 |mysqld               1243 2.0%   0    0 |python2              2058   14k 464B0.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 01:46:44 ubuntu dstat.sh[1971]: 01-04 01:46:44|  4   2  47  45   3| 628M  448M 86.4M 2693M|6979B 2160B|   0  1260k|   0  92.0 | 631  1192 |1.20 1.22 1.24|  0 1.0   0|   0     0 |mysqld               1243 1.5%   0    0 |python2              2058   14k 459B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 01:46:45 ubuntu dstat.sh[1971]: 01-04 01:46:45|  2   2  47  47   2| 628M  448M 86.5M 2693M|3223B 1944B|   0   608k|   0  42.0 | 485   870 |1.20 1.22 1.24|  0 1.0   0|   0     0 |mysqld               1243 1.5%   0    0 |python2              2058   14k 461B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
