-- Logs begin at Wed 2020-04-01 21:44:20 UTC, end at Wed 2020-04-01 23:10:43 UTC. --
Apr 01 22:25:19 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 22:25:19 ubuntu dstat.sh[2661]: [286B blob data]
Apr 01 22:25:19 ubuntu dstat.sh[2661]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 22:25:19 ubuntu dstat.sh[2661]: 01-04 22:25:19| 17   5  54  22   2| 421M  576M 85.2M 2649M|   0     0 | 266k 3803k|13.0  37.7 | 802  1504 |1.24 1.26 1.23|1.0 1.0  27|   0     0 |systemd              1    0.4%   0    0 |bash                 3856 2564k2368k0.2%|mysqld       174M|   0     0 |  13    3    0    6    0
Apr 01 22:25:20 ubuntu dstat.sh[2661]: 01-04 22:25:20| 23  37  38   1   1| 421M  576M 85.2M 2649M|4651B 2160B|4096B  108k|1.00  8.00 |1517  3960 |1.22 1.26 1.23|2.0   0 427|   0     0 |bash                 3856 7.5%1551k  27k|bash                 3856 1551k  27k7.5%|mysqld       174M|   0     0 |  13    3    0    6    0
Apr 01 22:25:21 ubuntu dstat.sh[2661]: 01-04 22:25:21| 26  32  38   0   4| 421M  575M 85.2M 2649M|6214B 1944B|   0    24k|   0  6.00 |1636  5390 |1.22 1.26 1.23|2.0   0 276|   0     0 |systemd              1     11%   0    0 |bash                 3856 2033k  17k3.5%|mysqld       174M|   0     0 |  13    3    0    6    0
Apr 01 22:25:22 ubuntu dstat.sh[2661]: 01-04 22:25:22| 29  29  37   0   5| 421M  576M 85.2M 2649M|5650B 1944B|   0   236k|   0  5.00 |1519  7180 |1.22 1.26 1.23|3.0   0 163|   0     0 |systemd              1     21%   0    0 |bash                 3856  991k8253B2.0%|mysqld       174M|   0     0 |  13    3    0    6    0
Apr 01 22:25:23 ubuntu dstat.sh[2661]: 01-04 22:25:23|  4   4  90   0   2| 547M  450M 85.2M 2772M|4785B 2160B|   0     0 |   0     0 | 636  1474 |1.22 1.26 1.23|  0   0  18|   0     0 |etcd                 3750 3.0%   0    0 |python2              2741   13k 461B  0%|mysqld       174M|   0     0 |  15    3    0    6    0
Apr 01 22:25:24 ubuntu dstat.sh[2661]: 01-04 22:25:24| 24  27  46   0   3| 557M  439M 85.2M 2772M|4370B 1944B|   0     0 |   0     0 |1468  3440 |1.22 1.26 1.23|1.0   0 296|   0     0 |keystone-manage      4058  11%2130k  81k|keystone-manage      4058 2130k  81k 11%|mysqld       174M|   0     0 |  15    5    0    8    0
Apr 01 22:25:25 ubuntu dstat.sh[2661]: 01-04 22:25:25| 22   3  40  35   1| 568M  428M 85.3M 2772M|4129B 2160B| 312k  172k|45.0  2.00 | 477   823 |1.20 1.25 1.23|1.0   0   0|   0     0 |keystone-manage      4058  24%3032k   0 |keystone-manage      4058 3032k   0  24%|mysqld       174M|   0     0 |  15    5    0    8    0
Apr 01 22:25:26 ubuntu dstat.sh[2661]: 01-04 22:25:26| 27   4  47  19   1| 585M  410M 86.0M 2773M|6994B 2254B|1688k    0 | 256     0 | 710  1480 |1.20 1.25 1.23|1.0   0 2.0|   0     0 |keystone-manage      4058  30%3839k  46k|keystone-manage      4058 3839k  46k 30%|mysqld       174M|   0     0 |  15    5    0    8    0
Apr 01 22:25:27 ubuntu dstat.sh[2661]: 01-04 22:25:27| 46   2  48   4   1| 603M  390M 86.0M 2774M|4721B 1944B| 656k    0 |49.0     0 | 624   946 |1.20 1.25 1.23|1.0   0   0|   0     0 |keystone-manage      4058  46%5218k 174k|keystone-manage      4058 5218k 174k 46%|mysqld       174M|   0     0 |  15    5    0    8    0
Apr 01 22:25:28 ubuntu dstat.sh[2661]: 01-04 22:25:28| 38  13  30  18   2| 626M  366M 86.1M 2775M|4232B 1944B| 144k 1936k|14.0  45.0 |1274  2083 |1.20 1.25 1.23|  0 1.0   0|   0     0 |keystone-manage      4058  30%2406k 481k|keystone-manage      4058 2406k 481k 30%|mysqld       186M|   0     0 |  15    7    0    8    0
Apr 01 22:25:29 ubuntu dstat.sh[2661]: 01-04 22:25:29|  3   1  47  46   3| 627M  365M 86.4M 2775M|6350B 2106B|   0  1580k|   0   115 | 773  1302 |1.20 1.25 1.23|  0 1.0   0|   0     0 |mysqld               1941 1.0%   0    0 |python2              2741   14k 490B  0%|mysqld       186M|   0     0 |  15    7    0    8    0
Apr 01 22:25:30 ubuntu dstat.sh[2661]: 01-04 22:25:30|  2   2  48  49   0| 627M  364M 86.6M 2776M|3537B 1998B|   0  1444k|   0   104 | 605  1213 |1.27 1.26 1.24|  0 1.0   0|   0     0 |mysqld               1941 1.0%   0    0 |python2              2741   14k 464B0.5%|mysqld       187M|   0     0 |  15    7    0    8    0
Apr 01 22:25:31 ubuntu dstat.sh[2661]: 01-04 22:25:31|  2   1  47  49   1| 627M  363M 86.9M 2776M|3995B 2052B|   0  1276k|   0  93.0 | 642  1145 |1.27 1.26 1.24|1.0   0   0|   0     0 |mysqld               1941 1.5%   0    0 |python2              2741   14k 460B  0%|mysqld       187M|   0     0 |  15    7    0    8    0
Apr 01 22:25:32 ubuntu dstat.sh[2661]: 01-04 22:25:32|  3   2  48  45   2| 628M  362M 87.0M 2776M|4471B 2052B|   0  3500k|   0   112 | 642  1082 |1.27 1.26 1.24|  0 1.0   0|   0     0 |mysqld               1941 1.5%   0    0 |python2              2741   14k 469B0.5%|mysqld       187M|   0     0 |  15    7    0    8    0
Apr 01 22:25:33 ubuntu dstat.sh[2661]: 01-04 22:25:33|  9   8  38  46   0| 628M  362M 87.3M 2776M|6159B 1944B|   0  1140k|   0   115 | 744  1720 |1.27 1.26 1.24|  0 1.0   0|   0     0 |mysqld               1941  12%   0    0 |python2              2741   14k 466B  0%|mysqld       188M|   0     0 |  15    7    0    8    0
Apr 01 22:25:34 ubuntu dstat.sh[2661]: 01-04 22:25:34| 11   8  38  42   1| 629M  360M 87.7M 2776M|5945B 2160B|   0  1240k|   0   130 | 913  2009 |1.27 1.26 1.24|  0 1.0   0|   0     0 |mysqld               1941  16%   0    0 |python2              2741   14k 460B  0%|mysqld       188M|   0     0 |  15    7    0    8    0
Apr 01 22:25:35 ubuntu dstat.sh[2661]: 01-04 22:25:35|  4   7  42  46   2| 629M  359M 87.9M 2776M|4276B 2160B|   0  1232k|   0   105 | 641  1548 |1.24 1.26 1.23|1.0 1.0   0|   0     0 |mysqld               1941 8.0%   0    0 |python2              2741   14k 470B  0%|mysqld       189M|   0     0 |  15    7    0    8    0
Apr 01 22:25:36 ubuntu dstat.sh[2661]: 01-04 22:25:36|  6   8  40  47   0| 630M  359M 88.1M 2776M|3983B 2160B|   0   892k|   0  68.0 | 544  1274 |1.24 1.26 1.23|  0 1.0 2.0|   0     0 |mysqld               1941  10%   0    0 |python2              2741   14k 470B  0%|mysqld       189M|   0     0 |  15    7    0    8    0
Apr 01 22:25:37 ubuntu dstat.sh[2661]: 01-04 22:25:37|  4   3  44  49   1| 630M  358M 88.3M 2776M|3343B 1944B|   0   920k|   0  79.0 | 494  1148 |1.24 1.26 1.23|  0 1.0   0|   0     0 |mysqld               1941 3.5%   0    0 |python2              2741   14k 464B0.5%|mysqld       190M|   0     0 |  15    7    0    8    0
Apr 01 22:25:38 ubuntu dstat.sh[2661]: 01-04 22:25:38| 12  16  30  42   1| 630M  358M 88.5M 2776M|5624B 2160B|   0  1124k|   0  95.0 | 694  1370 |1.24 1.26 1.23|1.0   0   0|   0     0 |mysqld               1941  25%   0    0 |python2              2741   14k 462B  0%|mysqld       190M|   0     0 |  15    7    0    8    0
Apr 01 22:25:39 ubuntu dstat.sh[2661]: 01-04 22:25:39| 12   9  45  34   1| 631M  356M 88.7M 2776M|4130B 1944B|   0  1504k|   0   111 | 711  1735 |1.24 1.26 1.23|  0 1.0   0|   0     0 |mysqld               1941  15%   0    0 |python2              2741   14k 459B  0%|mysqld       190M|   0     0 |  15    7    0    8    0
Apr 01 22:25:40 ubuntu dstat.sh[2661]: 01-04 22:25:40|  8   7  47  37   2| 632M  356M 88.9M 2777M|4356B 1944B|   0  1116k|   0  79.0 | 620  1270 |1.30 1.27 1.24|  0 1.0   0|   0     0 |mysqld               1941 8.5%   0    0 |python2              2741   14k 471B  0%|mysqld       191M|   0     0 |  15    7    0    7    0
Apr 01 22:25:41 ubuntu dstat.sh[2661]: 01-04 22:25:41|  4   4  44  46   1| 633M  289M 89.0M 2841M|4182B 2160B|   0    17M|   0  64.0 | 463   964 |1.30 1.27 1.24|  0 2.0   0|   0     0 |mysqld               1941 4.0%   0    0 |python2              2741   14k 451B0.5%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:42 ubuntu dstat.sh[2661]: 01-04 22:25:42|  2   1   0  98   0| 633M  289M 89.0M 2841M|3817B 1944B|   0    19M|   0  19.0 | 326   584 |1.30 1.27 1.24|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2741   14k 469B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
