-- Logs begin at Wed 2020-04-01 15:53:54 UTC, end at Wed 2020-04-01 17:21:49 UTC. --
Apr 01 16:34:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 16:34:14 ubuntu dstat.sh[1989]: [286B blob data]
Apr 01 16:34:14 ubuntu dstat.sh[1989]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 16:34:14 ubuntu dstat.sh[1989]: 01-04 16:34:14| 17   5  54  22   1| 421M  662M 85.4M 2565M|   0     0 | 235k 3104k|12.7  37.0 | 804  1487 |1.52 1.49 1.29|1.0   0  28|   0     0 |systemd              1    0.4%   0    0 |bash                 3519 2608k2408k0.2%|mysqld       173M|   0     0 |  14    3    0    7    0
Apr 01 16:34:15 ubuntu dstat.sh[1989]: 01-04 16:34:15| 16  27  30  26   1| 420M  663M 85.4M 2565M|4092B 2160B|   0  8176k|   0  29.0 |1141  2789 |1.52 1.49 1.29|1.0   0 301|   0     0 |bash                 3519 4.5%1735k  20k|bash                 3519 1735k  20k4.5%|mysqld       173M|   0     0 |  14    3    0    7    0
Apr 01 16:34:16 ubuntu dstat.sh[1989]: 01-04 16:34:16| 27  28  41   3   2| 420M  663M 85.4M 2565M|4257B 1944B|   0    20k|   0  5.00 |1846  4311 |1.52 1.49 1.29|2.0   0 249|   0     0 |systemd              1    9.5%   0    0 |bash                 3519 2011k  16k3.5%|mysqld       173M|   0     0 |  14    3    0    7    0
Apr 01 16:34:17 ubuntu dstat.sh[1989]: 01-04 16:34:17| 32  26  42   0   1| 545M  537M 85.4M 2688M|4310B 2160B|   0  8192B|   0  2.00 |2053  6410 |1.40 1.47 1.28|  0   0 141|   0     0 |systemd              1     20%   0    0 |bash                 3519  574k4511B1.0%|mysqld       173M|   0     0 |  16    3    0    7    0
Apr 01 16:34:18 ubuntu dstat.sh[1989]: 01-04 16:34:18| 25  27  48   0   1| 555M  528M 85.4M 2688M|3034B 1944B|   0     0 |   0     0 |1397  3157 |1.40 1.47 1.28|1.0   0 295|   0     0 |keystone-manage      3391  12%1882k  81k|keystone-manage      3391 1882k  81k 12%|mysqld       173M|   0     0 |  16    5    0    9    0
Apr 01 16:34:19 ubuntu dstat.sh[1989]: 01-04 16:34:19| 25   4  47  23   0| 567M  514M 85.6M 2688M|8200B 2160B| 644k    0 |68.0     0 | 551   900 |1.40 1.47 1.28|  0 1.0   0|   0     0 |keystone-manage      3391  25%3386k   0 |keystone-manage      3391 3386k   0  25%|mysqld       173M|   0     0 |  16    5    0    9    0
Apr 01 16:34:20 ubuntu dstat.sh[1989]: 01-04 16:34:20|  7   2  44  45   1| 568M  513M 85.6M 2688M|5228B 2160B| 248k 2848k|35.0  54.0 | 557   789 |1.40 1.47 1.28|1.0 1.0   0|   0     0 |keystone-manage      3391 5.0% 214k   0 |keystone-manage      3391  214k   0 5.0%|mysqld       173M|   0     0 |  16    5    0    9    0
Apr 01 16:34:21 ubuntu dstat.sh[1989]: 01-04 16:34:21|  8   3  48  42   1| 571M  509M 85.9M 2689M|4319B 2160B| 672k    0 | 116     0 | 575   978 |1.40 1.47 1.28|1.0   0   0|   0     0 |keystone-manage      3391 7.0% 777k   0 |keystone-manage      3391  777k   0 7.0%|mysqld       173M|   0     0 |  16    5    0    9    0
Apr 01 16:34:22 ubuntu dstat.sh[1989]: 01-04 16:34:22| 31   3  48  18   1| 587M  494M 86.1M 2689M|4100B 2160B| 340k    0 |55.0     0 | 605   869 |1.36 1.46 1.28|1.0   0   0|   0     0 |keystone-manage      3391  32%3575k  46k|keystone-manage      3391 3575k  46k 32%|mysqld       173M|   0     0 |  16    5    0    9    0
Apr 01 16:34:23 ubuntu dstat.sh[1989]: 01-04 16:34:23| 21   4  48  28   1| 594M  486M 86.1M 2690M|6420B 1944B| 580k    0 |43.0     0 | 620   895 |1.36 1.46 1.28|1.0   0   0|   0     0 |keystone-manage      3391  22%2099k 107k|keystone-manage      3391 2099k 107k 22%|mysqld       173M|   0     0 |  16    5    0    9    0
Apr 01 16:34:24 ubuntu dstat.sh[1989]: 01-04 16:34:24| 34   4  48  14   2| 612M  467M 86.1M 2690M|3522B 2160B| 196k    0 |17.0     0 | 584   952 |1.36 1.46 1.28|2.0   0   0|   0     0 |keystone-manage      3391  35%4521k 422k|keystone-manage      3391 4521k 422k 35%|mysqld       173M|   0     0 |  16    5    0    9    0
Apr 01 16:34:25 ubuntu dstat.sh[1989]: 01-04 16:34:25| 17   8  30  45   1| 622M  456M 86.2M 2691M|4723B 2160B|   0  1820k|   0  30.0 | 542  1558 |1.36 1.46 1.28|3.0   0   0|   0     0 |python2              1614  13%  84k  92k|python3.6            7456  101k 210k1.5%|mysqld       184M|   0     0 |  16    7    0    9    0
Apr 01 16:34:26 ubuntu dstat.sh[1989]: 01-04 16:34:26|  6   6  43  43   2| 625M  453M 86.3M 2691M|4673B 1944B|   0   740k|   0  49.0 | 559  1305 |1.36 1.46 1.28|  0 1.0   0|   0     0 |python2              1614 2.5%  21k  23k|keystone-manage      3391   36k  25k2.5%|mysqld       186M|   0     0 |  16    7    0    9    0
Apr 01 16:34:27 ubuntu dstat.sh[1989]: 01-04 16:34:27|  3   3  41  54   1| 626M  452M 86.4M 2691M|4622B 2106B|   0   632k|   0  44.0 | 550  1070 |1.42 1.47 1.29|  0 1.0 2.0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2257   14k 462B  0%|mysqld       186M|   0     0 |  16    7    0    9    0
Apr 01 16:34:28 ubuntu dstat.sh[1989]: 01-04 16:34:28|  3   2  47  47   0| 626M  452M 86.5M 2691M|4201B 1998B|   0   644k|   0  47.0 | 559  1002 |1.42 1.47 1.29|  0 1.0   0|   0     0 |jbd2/vda1-8          304  0.5%   0    0 |python2              2257   14k 449B  0%|mysqld       186M|   0     0 |  16    7    0    9    0
Apr 01 16:34:29 ubuntu dstat.sh[1989]: 01-04 16:34:29|  2   1  48  47   2| 626M  451M 86.6M 2691M|6290B 1944B|   0   776k|   0  52.0 | 530   949 |1.42 1.47 1.29|  0 1.0   0|   0     0 |kworker/1:1H         171  1.0%   0    0 |python2              2257   14k 461B0.5%|mysqld       186M|   0     0 |  16    7    0    8    0
Apr 01 16:34:30 ubuntu dstat.sh[1989]: 01-04 16:34:30|  3   2  47  48   1| 627M  449M 86.8M 2692M|6315B 2160B|   0  1068k|   0  62.0 | 596  1012 |1.42 1.47 1.29|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2257   14k 468B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:31 ubuntu dstat.sh[1989]: 01-04 16:34:31|  1   2   0  97   0| 627M  450M 86.8M 2692M|5863B 2038B|   0  5340k|   0  81.0 | 379   697 |1.42 1.47 1.29|  0 3.0   0|   0     0 |kworker/u4:4         188  0.5%   0    0 |python2              2257   14k 451B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:32 ubuntu dstat.sh[1989]: 01-04 16:34:32|  2   2   0  96   0| 627M  449M 86.8M 2692M|7259B 2160B|   0  2344k|   0  38.0 | 358   738 |1.62 1.51 1.30|  0 2.0   0|   0     0 |python2              2257 0.5%  14k 441B|python2              2257   14k 441B0.5%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:33 ubuntu dstat.sh[1989]: 01-04 16:34:33|  1   2  25  72   1| 626M  451M 86.8M 2692M|7103B 2160B|   0  4448k|   0   120 | 429   725 |1.62 1.51 1.30|  0 1.0   0|   0     0 |mysqld               1260 0.5%   0    0 |python2              2257   14k 457B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:34 ubuntu dstat.sh[1989]: 01-04 16:34:34|  1   1  39  56   1| 626M  450M 86.9M 2692M|5308B 1944B|   0  1360k|   0  58.0 | 506  1144 |1.62 1.51 1.30|  0 1.0   0|   0     0 |kworker/1:1H         171  0.5%   0    0 |python2              2257   14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:35 ubuntu dstat.sh[1989]: 01-04 16:34:35|  2   2  25  70   0| 626M  450M 86.9M 2692M|7127B 2160B|   0  4868k|   0  46.0 | 513   834 |1.62 1.51 1.30|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2257   14k 462B0.5%|mysqld       187M|   0     0 |  16    7    0    8    0
