-- Logs begin at Wed 2020-04-01 01:10:47 UTC, end at Wed 2020-04-01 02:40:31 UTC. --
Apr 01 01:51:44 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 01:51:45 ubuntu dstat.sh[1374]: [286B blob data]
Apr 01 01:51:45 ubuntu dstat.sh[1374]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 01:51:45 ubuntu dstat.sh[1374]: 01-04 01:51:45| 17   5  52  24   2| 422M  731M 87.6M 2498M|   0     0 | 205k 3257k|11.0  36.6 | 811  1695 |1.35 1.33 1.26|1.0   0  27|   0     0 |systemd              1    0.4%   0    0 |bash                 3662 2522k2339k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 01:51:46 ubuntu dstat.sh[1374]: 01-04 01:51:46| 21  36  36   3   5| 421M  731M 87.6M 2499M|5307B 2160B| 360k  128k|5.00  10.0 |1470  3821 |1.35 1.33 1.26|2.0   0 429|   0     0 |bash                 3662 7.0%1911k  28k|bash                 3662 1911k  28k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 01:51:47 ubuntu dstat.sh[1374]: 01-04 01:51:47| 27  31  37   0   5| 422M  731M 87.6M 2499M|3724B 1944B|   0    24k|   0  6.00 |1816  4032 |1.32 1.32 1.26|1.0   0 284|   0     0 |systemd              1    9.5%   0    0 |bash                 3662 2142k  18k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 01:51:48 ubuntu dstat.sh[1374]: 01-04 01:51:48| 28  27  38   0   6| 546M  606M 87.6M 2621M|3235B 2106B|   0  4096B|   0  1.00 |2436  7221 |1.32 1.32 1.26|  0   0 103|   0     0 |systemd              1     22%   0    0 |bash                 3662  442k2296B1.0%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 01 01:51:49 ubuntu dstat.sh[1374]: 01-04 01:51:49|  8  14  77   0   2| 547M  605M 87.6M 2621M|  11k 2214B|   0     0 |   0     0 | 930  2019 |1.32 1.32 1.26|2.0   0 176|   0     0 |bash                 3662 3.0% 328k9664B|bash                 3662  328k9664B3.0%|mysqld       173M|   0     0 |  16    5    0    5    0
Apr 01 01:51:50 ubuntu dstat.sh[1374]: 01-04 01:51:50| 37  14  47   0   3| 564M  587M 87.6M 2621M|5835B 2160B|   0     0 |   0     0 | 937  1927 |1.32 1.32 1.26|1.0   0 120|   0     0 |keystone-manage      2778  33%4302k  81k|keystone-manage      2778 4302k  81k 33%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 01:51:51 ubuntu dstat.sh[1374]: 01-04 01:51:51|  8   2  48  41   1| 569M  582M 87.7M 2621M|4732B 1998B| 668k  248k|57.0  2.00 | 549   925 |1.32 1.32 1.26|  0 1.0   0|   0     0 |keystone-manage      2778 7.0%1073k   0 |keystone-manage      2778 1073k   0 7.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 01:51:52 ubuntu dstat.sh[1374]: 01-04 01:51:52| 28   4  48  19   1| 586M  564M 87.8M 2622M|5751B 2106B| 692k    0 |84.0     0 | 639   963 |1.29 1.32 1.26|  0 1.0   0|   0     0 |keystone-manage      2778  30%3960k  46k|keystone-manage      2778 3960k  46k 30%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 01:51:53 ubuntu dstat.sh[1374]: 01-04 01:51:53| 20   1  48  31   1| 590M  560M 87.8M 2623M|5535B 2160B| 376k    0 |25.0     0 | 552   818 |1.29 1.32 1.26|  0 1.0 2.0|   0     0 |keystone-manage      2778  18%1077k   0 |keystone-manage      2778 1077k   0  18%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 01:51:54 ubuntu dstat.sh[1374]: 01-04 01:51:54| 39   4  41  16   1| 611M  537M 87.9M 2624M|3600B 2160B| 384k 2468k|32.0  50.0 | 700   824 |1.29 1.32 1.26|  0 1.0   0|   0     0 |keystone-manage      2778  41%5736k 519k|keystone-manage      2778 5736k 519k 41%|mysqld       173M|   0     0 |  16    5    0    7    0
