-- Logs begin at Wed 2020-04-01 05:38:25 UTC, end at Wed 2020-04-01 07:12:31 UTC. --
Apr 01 06:22:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 06:22:47 ubuntu dstat.sh[1840]: [286B blob data]
Apr 01 06:22:47 ubuntu dstat.sh[1840]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 06:22:47 ubuntu dstat.sh[1840]: 01-04 06:22:47| 16   5  54  24   2| 420M  754M 87.5M 2479M|   0     0 | 172k 2961k|9.70  34.4 | 716  1335 |1.33 1.33 1.27|2.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 4361 2334k2170k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 06:22:48 ubuntu dstat.sh[1840]: 01-04 06:22:48| 18  39  40   1   3| 420M  753M 87.5M 2479M|4448B 1728B| 352k  120k|5.00  8.00 |1757  4104 |1.33 1.33 1.27|2.0   0 412|   0     0 |bash                 4361 7.0%1350k  26k|bash                 4361 1350k  26k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 06:22:49 ubuntu dstat.sh[1840]: 01-04 06:22:49| 25  33  40   0   3| 420M  752M 87.5M 2480M|3844B 1944B|   0    24k|   0  6.00 |1437  5591 |1.31 1.32 1.26|2.0   0 251|   0     0 |systemd              1     10%   0    0 |bash                 4361 2012k  16k4.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 06:22:50 ubuntu dstat.sh[1840]: 01-04 06:22:50| 28  28  40   0   4| 422M  751M 87.5M 2480M|4131B 1944B|   0    12k|   0  3.00 |2311  7157 |1.31 1.32 1.26|1.0   0 194|   0     0 |systemd              1     14%   0    0 |bash                 4361 1091k9675B1.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 06:22:51 ubuntu dstat.sh[1840]: 01-04 06:22:51|  8   8  55  28   2| 546M  627M 87.5M 2602M|4304B 1728B|   0  1100k|   0  66.0 |1087  3035 |1.31 1.32 1.26|  0 1.0  22|   0     0 |systemd              1    6.0%   0    0 |bash                 4361  116k 392B0.5%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 01 06:22:52 ubuntu dstat.sh[1840]: 01-04 06:22:52| 17  28  44  11   2| 551M  621M 87.5M 2602M|5008B 1728B|   0    34M|   0  71.0 |1544  3256 |1.31 1.32 1.26|1.0   0 295|   0     0 |bash                 4361 5.5% 600k  18k|keystone-manage      3239  898k  42k4.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 06:22:53 ubuntu dstat.sh[1840]: 01-04 06:22:53| 31   4  48  16   0| 569M  603M 87.6M 2602M|3852B 1944B| 676k  200k|59.0  2.00 | 545   879 |1.31 1.32 1.26|1.0   0 1.0|   0     0 |keystone-manage      3239  34%4473k  38k|keystone-manage      3239 4473k  38k 34%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 06:22:54 ubuntu dstat.sh[1840]: 01-04 06:22:54| 25   3  48  25   0| 584M  587M 88.0M 2603M|6462B 1944B| 932k    0 | 144     0 | 590  1141 |1.28 1.31 1.26|1.0   0   0|   0     0 |keystone-manage      3239  24%3625k  46k|keystone-manage      3239 3625k  46k 24%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 06:22:55 ubuntu dstat.sh[1840]: 01-04 06:22:55| 41   3  48   9   1| 602M  568M 88.0M 2604M|3789B 1944B| 648k    0 |47.0     0 | 672   913 |1.28 1.31 1.26|2.0   0   0|   0     0 |keystone-manage      3239  42%4969k 174k|keystone-manage      3239 4969k 174k 42%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 06:22:56 ubuntu dstat.sh[1840]: 01-04 06:22:56| 34   9  27  29   1| 616M  552M 88.0M 2605M|5758B 1728B| 144k 1280k|14.0  5.00 | 934  1479 |1.28 1.31 1.26|  0 1.0   0|   0     0 |keystone-manage      3239  28%2619k 428k|keystone-manage      3239 2619k 428k 28%|mysqld       177M|   0     0 |  16    7    0    7    0
Apr 01 06:22:57 ubuntu dstat.sh[1840]: 01-04 06:22:57|  2   1  15  83   0| 617M  552M 88.0M 2605M|5918B 1944B|   0  1476k|   0   106 | 442   643 |1.28 1.31 1.26|  0 2.0   0|   0     0 |conntrackd           170240.5%   0    0 |python2              1920   14k 445B  0%|mysqld       177M|   0     0 |  16    7    0    7    0
Apr 01 06:22:58 ubuntu dstat.sh[1840]: 01-04 06:22:58|  2   1   0  98   0| 616M  552M 88.0M 2605M|4787B 1944B|   0  1552k|   0   134 | 566   566 |1.28 1.31 1.26|  0 2.0   0|   0     0 |etcd                 2911 0.5%   0    0 |python2              1920   14k 442B  0%|mysqld       177M|   0     0 |  16    7    0    7    0
Apr 01 06:22:59 ubuntu dstat.sh[1840]: 01-04 06:22:59|  8   5  36  51   1| 626M  542M 88.1M 2605M|3817B 1944B|   0  1928k|   0  83.0 | 710  1237 |1.34 1.33 1.27|  0 2.0   0|   0     0 |keystone-manage      3239 5.0%  38k  53k|keystone-manage      3239   38k  53k5.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 06:23:00 ubuntu dstat.sh[1840]: 01-04 06:23:00|  3   1  47  47   1| 626M  542M 88.3M 2605M|3081B 1728B|   0   780k|   0  59.0 | 467   938 |1.34 1.33 1.27|  0 1.0   0|   0     0 |jbd2/vda1-8          293  0.5%   0    0 |python2              1920   14k 449B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 06:23:01 ubuntu dstat.sh[1840]: 01-04 06:23:01|  4   3  46  46   1| 627M  541M 88.5M 2606M|3576B 1944B|   0  1232k|   0  89.0 | 647  1202 |1.34 1.33 1.27|  0 1.0 2.0|   0     0 |mysqld               1111 2.0%   0    0 |python2              1920   14k 457B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 06:23:02 ubuntu dstat.sh[1840]: 01-04 06:23:02|  3   2  47  47   2| 627M  540M 88.7M 2606M|3822B 1728B|   0  1120k|   0  74.0 | 581  1122 |1.34 1.33 1.27|  0 1.0   0|   0     0 |mysqld               1111 1.0%   0    0 |python2              1920   14k 469B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 06:23:03 ubuntu dstat.sh[1840]: 01-04 06:23:03|  3   2  47  48   1| 627M  539M 88.8M 2606M|7421B 1728B|   0   892k|   0  62.0 | 521   962 |1.34 1.33 1.27|  0 1.0   0|   0     0 |mysqld               1111 1.0%   0    0 |python2              1920   14k 461B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 06:23:04 ubuntu dstat.sh[1840]: 01-04 06:23:04|  2   2  30  66   1| 627M  539M 88.9M 2606M|5403B 1944B|   0  3352k|   0   100 | 436   650 |1.31 1.32 1.27|  0 1.0   0|   0     0 |jbd2/vda1-8          293  0.5%   0    0 |python2              1920   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 06:23:05 ubuntu dstat.sh[1840]: 01-04 06:23:05|  2   0  47  51   0| 627M  539M 89.0M 2606M|4067B 1944B|   0   340k|   0  23.0 | 349   714 |1.31 1.32 1.27|  0 1.0   0|   0     0 |mysqld               1111 0.5%   0    0 |python2              1920   14k 441B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 06:23:06 ubuntu dstat.sh[1840]: 01-04 06:23:06|  9   6  37  47   0| 628M  538M 89.2M 2606M|4178B 2160B|   0  1152k|   0  99.0 | 616  1402 |1.31 1.32 1.27|  0 1.0   0|   0     0 |mysqld               1111  11%   0    0 |python2              1920   14k 458B0.5%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 06:23:07 ubuntu dstat.sh[1840]: 01-04 06:23:07|  4   3  42  51   1| 628M  538M 89.3M 2606M|3852B 1944B|   0   504k|   0  48.0 | 420   993 |1.31 1.32 1.27|  0 1.0   0|   0     0 |mysqld               1111 3.5%   0    0 |python2              1920   14k 461B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 06:23:08 ubuntu dstat.sh[1840]: 01-04 06:23:08| 10   7  36  47   1| 628M  537M 89.4M 2606M|3809B 1944B|   0   420k|   0  42.0 | 460  1073 |1.31 1.32 1.27|1.0 1.0   0|   0     0 |mysqld               1111  14%   0    0 |python2              1920   14k 468B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 06:23:09 ubuntu dstat.sh[1840]: 01-04 06:23:09|  9   7  42  41   1| 629M  536M 89.7M 2607M|3259B 1728B|   0  1104k|   0   106 | 717  1594 |1.37 1.33 1.27|1.0   0   0|   0     0 |mysqld               1111  13%   0    0 |python2              1920   14k 465B0.5%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 06:23:10 ubuntu dstat.sh[1840]: 01-04 06:23:10|  5   4  43  47   1| 629M  536M 89.9M 2607M|4256B 1944B|   0  1180k|   0   109 | 595  1504 |1.37 1.33 1.27|  0 1.0   0|   0     0 |mysqld               1111 6.0%   0    0 |python2              1920   14k 464B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Apr 01 06:23:11 ubuntu dstat.sh[1840]: 01-04 06:23:11|  4   6  43  48   0| 630M  535M 90.1M 2607M|4587B 1944B|   0  1100k|   0  95.0 | 575  1460 |1.37 1.33 1.27|  0 1.0 2.0|   0     0 |mysqld               1111 6.0%   0    0 |python2              1920   14k 451B0.5%|mysqld       189M|   0     0 |  16    7    0    7    0
Apr 01 06:23:12 ubuntu dstat.sh[1840]: 01-04 06:23:12|  6   9  47  37   1| 630M  534M 90.4M 2607M|3508B 1728B|8192B 1536k|1.00   126 | 638  1442 |1.37 1.33 1.27|  0 1.0   0|   0     0 |mysqld               1111  12%   0    0 |python2              1920   14k 479B  0%|mysqld       190M|   0     0 |  16    7    0    7    0
Apr 01 06:23:13 ubuntu dstat.sh[1840]: 01-04 06:23:13|  8   3  45  45   0| 631M  533M 90.6M 2607M|3209B 1728B|   0  1144k|   0  85.0 | 534  1808 |1.37 1.33 1.27|  0 1.0   0|   0     0 |mysqld               1111 3.5%   0    0 |python2              1920   14k 453B  0%|mysqld       190M|   0     0 |  16    7    0    7    0
