-- Logs begin at Wed 2020-04-01 20:05:27 UTC, end at Wed 2020-04-01 21:42:24 UTC. --
Apr 01 20:48:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 20:48:09 ubuntu dstat.sh[1824]: [286B blob data]
Apr 01 20:48:09 ubuntu dstat.sh[1824]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 20:48:09 ubuntu dstat.sh[1824]: 01-04 20:48:09| 16   5  54  23   2| 420M  730M 86.8M 2502M|   0     0 | 182k 3083k|10.3  35.4 | 772  1465 |1.34 1.22 1.20|1.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 4352 2419k2248k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 20:48:10 ubuntu dstat.sh[1824]: 01-04 20:48:10| 21  34  35   2   8| 420M  730M 86.8M 2503M|6691B 2160B| 228k  180k|3.00  12.0 |1367  3345 |1.34 1.22 1.20|3.0   0 360|   0     0 |bash                 4352 6.5%2431k  24k|bash                 4352 2431k  24k6.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 20:48:11 ubuntu dstat.sh[1824]: 01-04 20:48:11| 26  28  38   0   9| 420M  729M 86.8M 2503M|6031B 2160B|   0    20k|   0  5.00 |1599  5318 |1.34 1.22 1.20|3.0   0 218|   0     0 |systemd              1     13%   0    0 |bash                 4352 1609k  13k3.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 20:48:12 ubuntu dstat.sh[1824]: 01-04 20:48:12| 26  22  47   0   5| 545M  604M 86.8M 2625M|3642B 1944B|   0     0 |   0     0 |2310  6781 |1.34 1.22 1.20|  0   0  79|   0     0 |systemd              1     20%   0    0 |bash                 4352  232k 656B0.5%|mysqld       174M|   0     0 |  16    3    0    5    0
Apr 01 20:48:13 ubuntu dstat.sh[1824]: 01-04 20:48:13| 23  24  52   0   1| 553M  596M 86.8M 2625M|4799B 2160B|   0     0 |   0     0 |1377  3367 |1.34 1.22 1.20|1.0   0 296|   0     0 |keystone-manage      3227 7.5%1578k  81k|keystone-manage      3227 1578k  81k7.5%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 20:48:14 ubuntu dstat.sh[1824]: 01-04 20:48:14| 35   6  47  11   2| 569M  579M 86.9M 2626M|4315B 1944B| 856k    0 |74.0     0 | 713   971 |1.39 1.23 1.21|1.0   0   0|   0     0 |keystone-manage      3227  38%4257k   0 |keystone-manage      3227 4257k   0  38%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 20:48:15 ubuntu dstat.sh[1824]: 01-04 20:48:15| 23   3  42  18  13| 583M  564M 87.3M 2627M|7334B 1944B|1016k  360k| 165  2.00 | 688  1126 |1.39 1.23 1.21|  0 1.0   0|   0     0 |keystone-manage      3227  35%3999k  46k|keystone-manage      3227 3999k  46k 35%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 20:48:16 ubuntu dstat.sh[1824]: 01-04 20:48:16| 41   2  42   4  13| 600M  546M 87.4M 2627M|5384B 1944B| 612k    0 |45.0     0 | 645   844 |1.39 1.23 1.21|  0 1.0 2.0|   0     0 |keystone-manage      3227  43%3819k 174k|keystone-manage      3227 3819k 174k 43%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 20:48:17 ubuntu dstat.sh[1824]: 01-04 20:48:17| 35  10  36  17   2| 615M  530M 87.5M 2628M|3388B 1944B| 176k 1300k|15.0  17.0 | 703  1474 |1.39 1.23 1.21|  0 1.0   0|   0     0 |keystone-manage      3227  32%2931k 428k|keystone-manage      3227 2931k 428k 32%|mysqld       178M|   0     0 |  16    7    0    7    0
Apr 01 20:48:18 ubuntu dstat.sh[1824]: 01-04 20:48:18|  9   4  45  41   3| 625M  520M 87.6M 2629M|3648B 1944B|   0   996k|   0  68.0 | 763  1322 |1.39 1.23 1.21|  0 1.0   0|   0     0 |keystone-manage      3227 5.0%  38k  53k|keystone-manage      3227   38k  53k5.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 20:48:19 ubuntu dstat.sh[1824]: 01-04 20:48:19|  2   2  47  48   1| 625M  519M 87.8M 2629M|3185B 1728B|   0  1008k|   0  72.0 | 491   978 |1.44 1.25 1.21|  0 1.0   0|   0     0 |mysqld               1081 1.0%   0    0 |python2              2129   14k 461B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 20:48:20 ubuntu dstat.sh[1824]: 01-04 20:48:20|  1   1  11  87   1| 625M  519M 87.8M 2629M|6040B 1944B|   0  1184k|   0   127 | 438   627 |1.44 1.25 1.21|  0 2.0   0|   0     0 |                                        |python2              2129   14k 463B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
