-- Logs begin at Wed 2020-04-01 03:21:04 UTC, end at Wed 2020-04-01 05:04:20 UTC. --
Apr 01 04:05:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 04:05:44 ubuntu dstat.sh[1647]: [286B blob data]
Apr 01 04:05:44 ubuntu dstat.sh[1647]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 04:05:44 ubuntu dstat.sh[1647]: 01-04 04:05:44| 16   5  54  24   1| 420M  758M 87.6M 2475M|   0     0 | 171k 2913k|9.62  34.4 | 721  1316 |0.84 1.01 1.13|1.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 4250 2319k2156k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 04:05:45 ubuntu dstat.sh[1647]: 01-04 04:05:45| 19  40  40   0   1| 420M  757M 87.6M 2476M|3983B 1944B| 256k  116k|4.00  7.00 |1422  3845 |0.84 1.01 1.13|2.0   0 383|   0     0 |bash                 4250 7.0%1055k  24k|bash                 4250 1055k  24k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 04:05:46 ubuntu dstat.sh[1647]: 01-04 04:05:46| 28  34  37   0   1| 420M  757M 87.6M 2476M|4074B 1944B|   0    24k|   0  6.00 |1519  3859 |0.77 0.99 1.13|1.0   0 276|   0     0 |systemd              1    9.5%   0    0 |bash                 4250 2130k  17k4.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 04:05:47 ubuntu dstat.sh[1647]: 01-04 04:05:47| 26  36  38   0   1| 422M  755M 87.6M 2476M|4644B 1890B|   0    16k|   0  4.00 |1977  6295 |0.77 0.99 1.13|2.0   0 209|   0     0 |systemd              1     12%   0    0 |bash                 4250 1293k  11k2.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 04:05:48 ubuntu dstat.sh[1647]: 01-04 04:05:48| 10  11  65  10   3| 545M  632M 87.6M 2598M|4743B 1782B|   0    18M|   0  21.0 |1336  3723 |0.77 0.99 1.13|  0   0  21|   0     0 |systemd              1     11%   0    0 |bash                 4250  116k 392B0.5%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 01 04:05:49 ubuntu dstat.sh[1647]: 01-04 04:05:49| 16  27  52   0   4| 548M  628M 87.6M 2598M|3951B 1782B|   0    15M|   0  15.0 |1273  3109 |0.77 0.99 1.13|1.0   0 294|   0     0 |bash                 4250 5.0% 600k  18k|bash                 4250  600k  18k5.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 04:05:50 ubuntu dstat.sh[1647]: 01-04 04:05:50| 34   5  43  14   3| 567M  609M 87.9M 2598M|3644B 2106B| 552k  168k|60.0  2.00 | 516   928 |0.77 0.99 1.13|  0 1.0 1.0|   0     0 |keystone-manage      3043  37%4814k  81k|keystone-manage      3043 4814k  81k 37%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 04:05:51 ubuntu dstat.sh[1647]: 01-04 04:05:51|  6   2  46  42   5| 567M  608M 88.0M 2599M|3508B 1728B| 384k    0 |64.0     0 | 418   687 |0.79 0.99 1.13|  0 1.0   0|   0     0 |keystone-manage      3043 6.0% 179k   0 |keystone-manage      3043  179k   0 6.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 04:05:52 ubuntu dstat.sh[1647]: 01-04 04:05:52| 10   3  47  38   3| 571M  603M 88.3M 2599M|3812B 1944B| 752k    0 | 126     0 | 555  1025 |0.79 0.99 1.13|  0 1.0   0|   0     0 |keystone-manage      3043  11% 886k   0 |keystone-manage      3043  886k   0  11%|mysqld       173M|   0     0 |  16    5    0    8    0
Apr 01 04:05:53 ubuntu dstat.sh[1647]: 01-04 04:05:53| 27   4  45  18   5| 586M  588M 88.3M 2599M|4645B 1944B| 204k    0 |21.0     0 | 542   917 |0.79 0.99 1.13|1.0   0   0|   0     0 |keystone-manage      3043  31%3574k  46k|keystone-manage      3043 3574k  46k 31%|mysqld       173M|   0     0 |  16    5    0    7    0
