"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Mar 2020 14:03:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-03 14:03:43,18.352,5.167,56.132,19.395,0.953,441659392,323514368,115523584,3005632512,0,0,226785.400,4053273.064,11.654,39.866,868.928,1538.555,1.020,1.050,1.060,3,0,27.437,0,0,13,3,0,5,0
11-03 14:03:44,22,39,37.500,0.500,1,442736640,322080768,115535872,3005751296,5982,2160,0,131072,0,9,1495,4210,1.260,1.100,1.080,3,0,434,0,0,13,3,0,5,0
11-03 14:03:45,28.283,35.354,36.364,0,0,444641280,319950848,115535872,3005911040,6361,2160,0,28672,0,7,2094,4744,1.260,1.100,1.080,4,0,314,0,0,13,3,0,6,0
11-03 14:03:46,29.293,26.263,43.939,0,0.505,573874176,190238720,115535872,3133960192,4436,1944,0,34476032,0,36,2101,6861,1.260,1.100,1.080,0,0,120,0,0,15,3,0,5,0
11-03 14:03:47,9.645,15.736,73.604,0,1.015,573923328,190164992,115535872,3133984768,5830,2160,0,0,0,0,1023,2286,1.260,1.100,1.080,1,0,197,0,0,15,5,0,5,0
11-03 14:03:48,40.201,12.060,47.739,0,0,594935808,169041920,115539968,3134074880,5128,2160,0,0,0,0,875,1733,1.260,1.100,1.080,1,0,98,0,0,15,5,0,8,0
11-03 14:03:49,32.663,4.523,47.739,14.573,0.503,616820736,145776640,115687424,3135172608,5455,1944,1216512,286720,123,2,714,1003,1.240,1.100,1.080,1,0,0,0,0,15,5,0,8,0
11-03 14:03:50,45.729,3.015,47.739,3.015,0.503,637591552,123838464,115712000,3136180224,5242,2160,647168,0,46,0,671,895,1.240,1.100,1.080,0,1,0,0,0,15,5,0,8,0
11-03 14:03:51,21.978,11.355,21.978,44.689,0,658358272,338116608,115884032,2909556736,6547,2808,151552,4665344,15,122,1139,1995,1.240,1.100,1.080,1,2,5,0,0,15,7,0,8,0
11-03 14:03:52,10.656,4.918,3.279,80.328,0.820,658579456,337522688,115912704,2909675520,3718,1296,0,1196032,0,119,554,726,1.240,1.100,1.080,0,2,0,0,0,15,7,0,8,0
11-03 14:03:53,2.538,0.508,18.782,77.665,0.508,660574208,335515648,115916800,2909683712,5017,2106,0,2695168,0,145,631,634,1.240,1.100,1.080,0,1,0,0,0,15,7,0,8,0
11-03 14:03:54,3.030,1.515,44.444,51.010,0,660574208,335032320,116064256,2910019584,4738,2214,90112,3366912,3,117,655,1287,1.300,1.120,1.080,0,1,2,0,0,15,7,0,8,0
11-03 14:03:55,2.525,1.010,48.485,47.475,0.505,660742144,334217216,116260864,2910441472,5500,1944,0,1445888,0,99,633,1226,1.300,1.120,1.080,0,1,0,0,0,15,7,0,8,0
11-03 14:03:56,2.010,2.513,47.739,47.739,0,661381120,333254656,116420608,2910597120,5627,2160,0,1404928,0,102,611,1264,1.300,1.120,1.080,0,1,0,0,0,15,7,0,8,0
11-03 14:03:57,3.535,2.020,48.485,45.960,0,661712896,332185600,116690944,2911035392,5448,2160,0,1851392,0,141,805,1581,1.300,1.120,1.080,0,1,0,0,0,15,7,0,8,0
11-03 14:03:58,11.224,7.653,38.776,42.347,0,662564864,331010048,116944896,2911100928,8805,2160,0,1220608,0,126,884,2756,1.300,1.120,1.080,0,1,0,0,0,15,7,0,8,0
11-03 14:03:59,9.596,7.071,39.899,42.929,0.505,663175168,329961472,117190656,2911293440,8288,2160,0,1306624,0,125,800,1777,1.360,1.130,1.090,1,0,0,0,0,15,7,0,8,0
11-03 14:04:00,3.015,3.518,46.231,47.236,0,663429120,329424896,117411840,2911350784,6299,2160,0,1208320,0,93,603,1431,1.360,1.130,1.090,0,1,0,0,0,15,7,0,8,0
11-03 14:04:01,8.122,5.584,42.640,43.655,0,664272896,328388608,117678080,2911260672,4192,1944,4096,1495040,1,129,825,1785,1.360,1.130,1.090,1,2,0,0,0,15,7,0,8,0
11-03 14:04:02,8.205,4.103,47.179,40.513,0,665128960,327090176,117972992,2911408128,6453,2160,4096,1757184,1,129,1091,2384,1.360,1.130,1.090,1,1,0,0,0,15,7,0,8,0
11-03 14:04:03,17.085,14.573,39.196,28.643,0.503,665632768,326356992,118259712,2911350784,6328,2160,0,1744896,0,127,1103,2142,1.360,1.130,1.090,1,1,0,0,0,15,7,0,8,0
11-03 14:04:04,5.584,4.569,47.716,42.132,0,666669056,256970752,118411264,2978676736,4528,2160,0,47661056,0,119,862,2070,1.330,1.130,1.090,0,1,2,0,0,15,7,0,8,0
11-03 14:04:05,2.030,0.508,47.716,49.746,0,666923008,256524288,118530048,2978746368,5693,2160,0,21123072,0,70,535,1086,1.330,1.130,1.090,0,1,0,0,0,15,7,0,8,0
11-03 14:04:06,3.553,2.030,49.239,45.178,0,667168768,255549440,118792192,2979172352,5213,2160,0,1765376,0,132,927,1670,1.330,1.130,1.090,0,1,0,0,0,15,7,0,8,0
11-03 14:04:07,7.035,5.025,46.734,40.704,0.503,667607040,254660608,119042048,2979364864,5728,2160,0,1228800,0,104,798,1789,1.330,1.130,1.090,0,1,0,0,0,15,7,0,8,0
11-03 14:04:08,3.518,2.010,28.643,65.829,0,667873280,254144512,119177216,2979463168,3504,1944,0,774144,0,56,548,1244,1.330,1.130,1.090,0,1,0,0,0,15,7,0,8,0
11-03 14:04:09,5.584,4.569,48.223,41.117,0.508,668172288,253386752,119390208,2979704832,7018,2160,0,1339392,0,104,899,1712,1.380,1.140,1.090,0,1,0,0,0,15,7,0,8,0
11-03 14:04:10,13.500,13.500,41.500,31,0.500,668401664,252846080,119660544,2979729408,16101,1986,0,1404928,0,120,1002,2081,1.380,1.140,1.090,1,1,0,0,0,15,7,0,8,0
11-03 14:04:11,9.548,6.030,47.739,36.683,0,669184000,251596800,119926784,2979909632,6288,2160,0,1671168,0,128,1113,1966,1.380,1.140,1.090,1,1,0,0,0,15,7,0,7,0
11-03 14:04:12,15.152,11.111,47.475,25.758,0.505,669470720,250949632,120242176,2979930112,6625,2160,0,2084864,0,149,1177,1894,1.380,1.140,1.090,0,1,0,0,0,15,7,0,7,0
11-03 14:04:13,10.152,9.645,40.102,37.563,2.538,669769728,250310656,120524800,2979979264,5757,1944,0,1892352,0,145,1059,2126,1.380,1.140,1.090,0,1,0,0,0,15,7,0,7,0
11-03 14:04:14,10.714,9.184,44.898,34.694,0.510,670343168,249389056,120786944,2980065280,7353,2160,0,1609728,0,115,906,1752,1.430,1.160,1.100,0,1,2,0,0,15,7,0,7,0
11-03 14:04:15,7.071,5.051,37.879,48.990,1.010,670625792,248692736,121032704,2980233216,4814,2160,0,1531904,0,120,733,1623,1.430,1.160,1.100,2,1,0,0,0,15,7,0,7,0
11-03 14:04:16,12.935,9.950,42.786,33.831,0.498,671096832,247865344,121311232,2980298752,7997,1944,0,2101248,0,135,1208,2900,1.430,1.160,1.100,0,2,0,0,0,15,7,0,7,0
11-03 14:04:17,16.410,14.359,47.692,21.538,0,671318016,247296000,121692160,2980249600,6406,2160,0,2023424,0,156,1272,1950,1.430,1.160,1.100,1,1,0,0,0,15,7,0,7,0
11-03 14:04:18,14.573,9.548,39.698,36.181,0,671899648,246341632,122056704,2980249600,7781,2160,0,2035712,0,149,1268,2314,1.430,1.160,1.100,4,0,0,0,0,15,7,0,7,0
11-03 14:04:19,34.171,23.116,21.106,20.603,1.005,672436224,244858880,122335232,2980880384,5066,1944,0,1654784,0,106,1100,1847,1.480,1.170,1.100,1,0,0,0,0,15,7,0,7,0
11-03 14:04:20,14.070,8.040,39.698,37.688,0.503,672825344,244158464,122654720,2980859904,4522,2160,0,1634304,0,128,1223,2581,1.480,1.170,1.100,1,0,0,0,0,15,7,0,7,0
11-03 14:04:21,12.183,11.168,34.010,42.132,0.508,673079296,243335168,123015168,2981085184,6334,2160,0,2052096,0,151,1264,2028,1.480,1.170,1.100,0,1,0,0,0,15,7,0,7,0
11-03 14:04:22,11.055,5.025,44.724,38.693,0.503,673464320,242475008,123326464,2981236736,10535,1944,0,1929216,0,143,1166,2579,1.480,1.170,1.100,1,1,0,0,0,15,7,0,7,0
11-03 14:04:23,12.563,8.543,44.221,34.673,0,673628160,242036736,123588608,2981240832,5165,2160,0,1814528,0,121,1075,2379,1.480,1.170,1.100,1,0,0,0,0,15,7,0,7,0
11-03 14:04:24,3.030,1.515,38.384,55.556,1.515,674123776,241147904,123740160,2981470208,4582,2160,0,1814528,0,139,749,1287,1.680,1.220,1.120,0,1,2,0,0,15,7,0,7,0
11-03 14:04:25,6.154,7.179,42.564,44.103,0,673914880,240975872,123965440,2981617664,3640,1944,0,1568768,0,118,925,1608,1.680,1.220,1.120,0,1,0,0,0,15,7,0,7,0
11-03 14:04:26,6.061,3.535,41.919,47.475,1.010,674250752,240201728,124219392,2981765120,6049,2202,0,1875968,0,131,1022,1526,1.680,1.220,1.120,0,1,0,0,0,15,7,0,7,0
11-03 14:04:27,15.920,11.443,47.264,24.876,0.498,674496512,239538176,124506112,2981883904,3808,2160,0,1957888,0,142,972,2019,1.680,1.220,1.120,0,1,0,0,0,15,7,0,7,0
