-- Logs begin at Wed 2020-04-01 18:33:44 UTC, end at Wed 2020-04-01 20:03:11 UTC. --
Apr 01 19:15:45 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 19:15:45 ubuntu dstat.sh[1917]: [286B blob data]
Apr 01 19:15:45 ubuntu dstat.sh[1917]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 19:15:45 ubuntu dstat.sh[1917]: 01-04 19:15:45| 16   5  54  23   1| 421M  663M 84.2M 2566M|   0     0 | 228k 3520k|12.2  36.8 | 766  1365 |1.02 1.19 1.18|2.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 3480 2504k2312k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 19:15:46 ubuntu dstat.sh[1917]: 01-04 19:15:46| 19  33  39   1   8| 423M  660M 84.2M 2567M|4230B 2214B|   0   108k|   0  8.00 |1323  3615 |1.10 1.20 1.18|2.0   0 397|   0     0 |bash                 3480 7.0%1245k  25k|bash                 3480 1245k  25k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 19:15:47 ubuntu dstat.sh[1917]: 01-04 19:15:47| 23  34  38   0   6| 422M  661M 84.2M 2567M|5209B 1944B|   0    20k|   0  5.00 |1225  4509 |1.10 1.20 1.18|2.0   0 240|   0     0 |systemd              1     11%   0    0 |bash                 3480 1815k  15k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 19:15:48 ubuntu dstat.sh[1917]: 01-04 19:15:48| 28  32  38   0   2| 422M  661M 84.2M 2567M|3513B 2160B|   0    16k|   0  4.00 |1744  4853 |1.10 1.20 1.18|4.0   0 218|   0     0 |systemd              1     16%   0    0 |bash                 3480 1394k  11k2.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 19:15:49 ubuntu dstat.sh[1917]: 01-04 19:15:49|  9   8  80   3   1| 546M  536M 84.2M 2689M|4284B 2160B|   0    32M|   0  34.0 | 949  2577 |1.10 1.20 1.18|1.0   0  31|   0     0 |systemd              1    4.0%   0    0 |bash                 3480  261k1864B0.5%|mysqld       173M|   0     0 |  16    5    0    5    0
Apr 01 19:15:50 ubuntu dstat.sh[1917]: 01-04 19:15:50| 31  24  44   0   1| 557M  525M 84.2M 2689M|3394B 1944B|   0   984k|   0  1.00 |1352  3285 |1.10 1.20 1.18|1.0   0 283|   0     0 |keystone-manage      3314  17%2259k  81k|keystone-manage      3314 2259k  81k 17%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 19:15:51 ubuntu dstat.sh[1917]: 01-04 19:15:51| 33   5  47  14   1| 575M  506M 84.8M 2690M|3812B 1944B|1784k  188k| 254  2.00 | 855  1334 |1.09 1.20 1.18|1.0   0   0|   0     0 |keystone-manage      3314  36%4818k  46k|keystone-manage      3314 4818k  46k 36%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 19:15:52 ubuntu dstat.sh[1917]: 01-04 19:15:52| 47   3  47   2   0| 596M  484M 84.8M 2691M|4347B 2160B| 668k    0 |55.0     0 | 746   879 |1.09 1.20 1.18|1.0   0   0|   0     0 |keystone-manage      3314  47%5505k 107k|keystone-manage      3314 5505k 107k 47%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 19:15:53 ubuntu dstat.sh[1917]: 01-04 19:15:53| 41  11  36  12   1| 616M  463M 84.9M 2692M|3901B 2160B| 196k 1324k|17.0  9.00 | 929  1371 |1.09 1.20 1.18|  0 1.0   0|   0     0 |keystone-manage      3314  36%4001k 495k|keystone-manage      3314 4001k 495k 36%|mysqld       177M|   0     0 |  16    7    0    7    0
Apr 01 19:15:54 ubuntu dstat.sh[1917]: 01-04 19:15:54|  7   5  16  71   1| 625M  453M 84.9M 2692M|  10k 1944B|   0  1092k|   0   152 | 864  1202 |1.09 1.20 1.18|  0 3.0   0|   0     0 |keystone-manage      3314 4.5%  38k  53k|keystone-manage      3314   38k  53k4.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 19:15:55 ubuntu dstat.sh[1917]: 01-04 19:15:55|  1   1   9  87   0| 625M  453M 84.9M 2692M|  16k 2160B|   0  3544k|   0   146 | 549   684 |1.09 1.20 1.18|  0 1.0   0|   0     0 |                                        |python2              2011   14k 471B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 19:15:56 ubuntu dstat.sh[1917]: 01-04 19:15:56|  2   2  46  50   0| 625M  453M 85.0M 2692M|4954B 2160B|   0   780k|   0  39.0 | 500   919 |1.16 1.21 1.19|  0 1.0 2.0|   0     0 |beam.smp             2875 1.0%   0    0 |python2              2011   14k 465B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
