-- Logs begin at Wed 2020-04-01 03:30:03 UTC, end at Wed 2020-04-01 05:02:40 UTC. --
Apr 01 04:12:57 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 04:12:57 ubuntu dstat.sh[1789]: [286B blob data]
Apr 01 04:12:57 ubuntu dstat.sh[1789]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 04:12:57 ubuntu dstat.sh[1789]: 01-04 04:12:57| 16   5  53  25   1| 419M  736M 87.3M 2498M|   0     0 | 181k 3024k|10.3  35.2 | 767  1347 |1.22 1.23 1.21|4.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 4348 2407k2237k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 04:12:58 ubuntu dstat.sh[1789]: 01-04 04:12:58| 21  37  36   2   4| 419M  735M 87.3M 2498M|4609B 2106B| 228k  136k|3.00  10.0 |1331  3629 |1.22 1.23 1.21|1.0   0 402|   0     0 |bash                 4348 6.5%2058k  27k|bash                 4348 2058k  27k6.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 04:12:59 ubuntu dstat.sh[1789]: 01-04 04:12:59| 24  37  38   0   1| 418M  736M 87.3M 2498M|3864B 1944B|   0    28k|   0  7.00 |1667  4438 |1.22 1.23 1.21|2.0   0 277|   0     0 |systemd              1     10%   0    0 |bash                 4348 2127k  17k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 04:13:00 ubuntu dstat.sh[1789]: 01-04 04:13:00| 27  21  49   0   2| 543M  610M 87.3M 2620M|3891B 1674B|   0     0 |   0     0 |1626  6651 |1.29 1.24 1.22|1.0   0  80|   0     0 |systemd              1     18%   0    0 |bash                 4348  232k 656B0.5%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 01 04:13:01 ubuntu dstat.sh[1789]: 01-04 04:13:01| 11  16  66   0   7| 545M  609M 87.3M 2620M|6866B 1998B|   0     0 |   0     0 |1042  2502 |1.29 1.24 1.22|3.0   0 217|   0     0 |bash                 4348 4.5% 391k  12k|bash                 4348  391k  12k4.5%|mysqld       173M|   0     0 |  16    5    0    5    0
Apr 01 04:13:02 ubuntu dstat.sh[1789]: 01-04 04:13:02| 39  11  46   0   3| 565M  589M 87.3M 2620M|3901B 1728B|   0     0 |   0     0 | 798  1455 |1.29 1.24 1.22|1.0   0  78|   0     0 |keystone-manage      3184  36%4977k  81k|keystone-manage      3184 4977k  81k 36%|mysqld       173M|   0     0 |  16    5    0    8    0
Apr 01 04:13:03 ubuntu dstat.sh[1789]: 01-04 04:13:03|  2   1  42  55   1| 565M  588M 87.5M 2621M|4792B 1890B| 528k  280k|54.0  2.00 | 423   766 |1.29 1.24 1.22|  0 1.0   0|   0     0 |keystone-manage      3184 1.5% 218k   0 |keystone-manage      3184  218k   0 1.5%|mysqld       173M|   0     0 |  16    5    0    8    0
Apr 01 04:13:04 ubuntu dstat.sh[1789]: 01-04 04:13:04|  3   2  49  46   1| 565M  588M 87.5M 2621M|3653B 1876B| 244k    0 |31.0     0 | 417   717 |1.29 1.24 1.22|  0 1.0   0|   0     0 |keystone-manage      3184 1.5% 156k   0 |keystone-manage      3184  156k   0 1.5%|mysqld       173M|   0     0 |  16    5    0    8    0
Apr 01 04:13:05 ubuntu dstat.sh[1789]: 01-04 04:13:05|  9   2  49  41   1| 568M  585M 87.8M 2621M|  20k 1944B| 360k    0 |74.0     0 | 567   884 |1.26 1.24 1.21|  0 1.0   0|   0     0 |keystone-manage      3184 7.5% 502k   0 |keystone-manage      3184  502k   0 7.5%|mysqld       173M|   0     0 |  16    5    0    8    0
Apr 01 04:13:06 ubuntu dstat.sh[1789]: 01-04 04:13:06| 10   2  48  38   2| 573M  579M 87.8M 2622M|7277B 2676B| 548k    0 |69.0     0 | 619   848 |1.26 1.24 1.21|1.0   0   0|   0     0 |keystone-manage      3184  10%1315k  46k|keystone-manage      3184 1315k  46k 10%|mysqld       173M|   0     0 |  16    5    0    8    0
