-- Logs begin at Wed 2020-04-01 09:10:32 UTC, end at Wed 2020-04-01 11:01:58 UTC. --
Apr 01 10:01:15 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 10:01:16 ubuntu dstat.sh[1803]: [286B blob data]
Apr 01 10:01:16 ubuntu dstat.sh[1803]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 10:01:16 ubuntu dstat.sh[1803]: 01-04 10:01:16| 14   4  57  24   1| 421M  754M 88.2M 2477M|   0     0 | 151k 2391k|8.51  29.8 | 671  1206 |1.06 1.23 1.20|4.0 1.0  22|   0     0 |systemd              1    0.4%   0    0 |bash                 4323 2040k1896k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 10:01:17 ubuntu dstat.sh[1803]: 01-04 10:01:17| 12  25   4  59   2| 421M  753M 88.2M 2478M|4861B 1944B|   0    26M|   0  28.0 |1006  2366 |1.06 1.23 1.20|  0 4.0 265|   0     0 |bash                 4323 4.5% 714k  17k|bash                 4323  714k  17k4.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 10:01:18 ubuntu dstat.sh[1803]: 01-04 10:01:18| 28  31  33   5   3| 421M  753M 88.2M 2478M|4460B 1944B| 212k  180k|3.00  11.0 |1389  3550 |1.06 1.23 1.20|2.0   0 283|   0     0 |systemd              1    8.5%   0    0 |bash                 4323 2226k  17k4.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 10:01:19 ubuntu dstat.sh[1803]: 01-04 10:01:19| 28  30  38   0   4| 423M  751M 88.2M 2478M|3317B 1716B|  68k   16k|1.00  4.00 |1590  6489 |1.06 1.23 1.20|1.0   0 209|   0     0 |systemd              1     15%   0    0 |bash                 4323 1385k  11k2.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 10:01:20 ubuntu dstat.sh[1803]: 01-04 10:01:20| 11  20  67   0   3| 547M  626M 88.2M 2600M|5198B 1998B|   0     0 |   0     0 |1493  2977 |1.06 1.23 1.20|1.0   0 153|   0     0 |systemd              1    7.0%   0    0 |bash                 4323  393k7613B2.0%|mysqld       173M|   0     0 |  16    5    0    5    0
Apr 01 10:01:21 ubuntu dstat.sh[1803]: 01-04 10:01:21| 32  19  45   0   3| 563M  611M 88.2M 2600M|3249B 1944B|  80k    0 |1.00     0 |1013  2067 |1.06 1.23 1.20|1.0   0 161|   0     0 |keystone-manage      3201  30%4015k  81k|keystone-manage      3201 4015k  81k 30%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 10:01:22 ubuntu dstat.sh[1803]: 01-04 10:01:22|  8   2  48  40   1| 568M  605M 88.3M 2601M|5599B 1728B| 716k    0 |71.0     0 | 494   884 |1.06 1.23 1.20|1.0   0   0|   0     0 |keystone-manage      3201 9.0%1356k   0 |keystone-manage      3201 1356k   0 9.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 10:01:23 ubuntu dstat.sh[1803]: 01-04 10:01:23| 38   4  46  11   1| 588M  584M 88.7M 2601M|4561B 1944B| 976k 3912k| 150  10.0 | 600  1043 |1.06 1.23 1.20|1.0 1.0   0|   0     0 |keystone-manage      3201  41%4463k  46k|keystone-manage      3201 4463k  46k 41%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 10:01:24 ubuntu dstat.sh[1803]: 01-04 10:01:24| 36   5  47   9   3| 608M  563M 88.7M 2602M|4701B 1944B| 660k 4464k|48.0  11.0 | 659   826 |1.06 1.23 1.20|1.0   0   0|   0     0 |keystone-manage      3201  39%5412k 321k|keystone-manage      3201 5412k 321k 39%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 10:01:25 ubuntu dstat.sh[1803]: 01-04 10:01:25| 31  11  28  24   5| 626M  544M 88.7M 2603M|4331B 1944B| 108k 1512k|10.0  32.0 |1016  1660 |1.06 1.23 1.20|1.0   0   0|   0     0 |keystone-manage      3201  24%1375k 334k|keystone-manage      3201 1375k 334k 24%|mysqld       186M|   0     0 |  16    7    0    7    0
