-- Logs begin at Wed 2020-04-01 07:14:24 UTC, end at Wed 2020-04-01 08:47:21 UTC. --
Apr 01 07:59:10 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 07:59:11 ubuntu dstat.sh[1332]: [286B blob data]
Apr 01 07:59:11 ubuntu dstat.sh[1332]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 07:59:11 ubuntu dstat.sh[1332]: 01-04 07:59:11| 15   5  54  24   2| 422M  725M 88.4M 2504M|   0     0 | 187k 2514k|10.1  32.7 | 756  1358 |1.56 1.43 1.30|2.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 3615 2308k2141k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 07:59:12 ubuntu dstat.sh[1332]: 01-04 07:59:12| 17  33  33   5  11| 423M  723M 88.4M 2504M|4626B 1944B| 140k  128k|3.00  9.00 |1244  3218 |1.52 1.43 1.30|2.0   0 361|   0     0 |bash                 3615 6.5%1648k  24k|bash                 3615 1648k  24k6.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 07:59:13 ubuntu dstat.sh[1332]: 01-04 07:59:13| 26  32  37   0   5| 423M  723M 88.4M 2505M|3516B 1782B|   0    20k|   0  5.00 |1722  4509 |1.52 1.43 1.30|1.0 1.0 284|   0     0 |systemd              1    9.0%   0    0 |bash                 3615 2233k  18k4.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 07:59:14 ubuntu dstat.sh[1332]: 01-04 07:59:14| 29  27  43   1   1| 548M  597M 88.4M 2627M|5506B 1944B|  80k   12k|1.00  3.00 |1842  5146 |1.52 1.43 1.30|  0   0 140|   0     0 |systemd              1     20%   0    0 |bash                 3615  574k4511B1.0%|mysqld       174M|   0     0 |  16    3    0    5    0
Apr 01 07:59:15 ubuntu dstat.sh[1332]: 01-04 07:59:15|  6   9  84   0   1| 549M  596M 88.4M 2627M|3904B 1728B|   0     0 |   0     0 | 644  1483 |1.52 1.43 1.30|2.0   0 107|   0     0 |bash                 3615 2.0% 249k5985B|bash                 3615  249k5985B2.0%|mysqld       174M|   0     0 |  16    5    0    5    0
Apr 01 07:59:16 ubuntu dstat.sh[1332]: 01-04 07:59:16| 35  17  46   0   1| 561M  584M 88.4M 2627M|4303B 1944B|   0     0 |   0     0 |1004  2325 |1.52 1.43 1.30|1.0   0 188|   0     0 |keystone-manage      2743  27%3083k  81k|keystone-manage      2743 3083k  81k 27%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 07:59:17 ubuntu dstat.sh[1332]: 01-04 07:59:17| 16   1  43  40   0| 570M  574M 88.5M 2627M|3802B 1944B| 676k  248k|59.0  2.00 | 579   900 |1.48 1.42 1.30|  0 1.0   0|   0     0 |keystone-manage      2743  15%2292k   0 |keystone-manage      2743 2292k   0  15%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 07:59:18 ubuntu dstat.sh[1332]: 01-04 07:59:18| 11   1  47  40   0| 575M  568M 88.6M 2628M|4017B 1728B| 560k    0 |70.0     0 | 564   929 |1.48 1.42 1.30|  0 1.0   0|   0     0 |keystone-manage      2743 9.0%1114k   0 |keystone-manage      2743 1114k   0 9.0%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 07:59:19 ubuntu dstat.sh[1332]: 01-04 07:59:19| 35   3  48  15   1| 590M  553M 88.6M 2628M|4423B 1944B| 148k    0 |15.0     0 | 571   724 |1.48 1.42 1.30|  0 1.0   0|   0     0 |keystone-manage      2743  36%3606k  46k|keystone-manage      2743 3606k  46k 36%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 07:59:20 ubuntu dstat.sh[1332]: 01-04 07:59:20| 20   3  47  29   1| 601M  541M 88.6M 2629M|3023B 1728B| 572k    0 |41.0     0 | 526   834 |1.48 1.42 1.30|1.0   0 2.0|   0     0 |keystone-manage      2743  22%3177k 124k|keystone-manage      2743 3177k 124k 22%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 07:59:21 ubuntu dstat.sh[1332]: 01-04 07:59:21| 26   3  48  23   1| 615M  527M 88.7M 2630M|3481B 1944B| 180k    0 |15.0     0 | 490   713 |1.48 1.42 1.30|  0 1.0   0|   0     0 |keystone-manage      2743  26%3166k 395k|keystone-manage      2743 3166k 395k 26%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 07:59:22 ubuntu dstat.sh[1332]: 01-04 07:59:22| 16   7  21  57   0| 619M  522M 88.7M 2630M|4600B 1944B|  12k 5028k|1.00  35.0 | 563   955 |1.68 1.46 1.31|  0 3.0   0|   0     0 |python2              1633  12%  83k  91k|python3.6            7548   83k 173k0.5%|mysqld       177M|   0     0 |  16    7    0    7    0
Apr 01 07:59:23 ubuntu dstat.sh[1332]: 01-04 07:59:23|  4   1  49  45   1| 626M  516M 88.8M 2630M|4270B 1944B|   0  7104k|   0  64.0 | 401   717 |1.68 1.46 1.31|  0 1.0   0|   0     0 |jbd2/vda1-8          292  0.5%   0    0 |python2              1531   14k 453B  0%|mysqld       184M|   0     0 |  16    7    0    7    0
Apr 01 07:59:24 ubuntu dstat.sh[1332]: 01-04 07:59:24|  8   4  45  43   1| 628M  513M 88.8M 2630M|3711B 1770B|   0   524k|   0  33.0 | 656  1101 |1.68 1.46 1.31|  0 1.0   0|   0     0 |keystone-manage      2743 4.5%  38k  53k|keystone-manage      2743   38k  53k4.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Apr 01 07:59:25 ubuntu dstat.sh[1332]: 01-04 07:59:25|  2   1  48  49   1| 628M  513M 88.9M 2630M|6271B 1986B|   0   476k|   0  27.0 | 463   798 |1.68 1.46 1.31|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1531   14k 462B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Apr 01 07:59:26 ubuntu dstat.sh[1332]: 01-04 07:59:26|  2   2  49  48   0| 628M  513M 89.0M 2630M|3684B 1944B|   0   344k|   0  23.0 | 411   738 |1.68 1.46 1.31|  0 1.0   0|   0     0 |mysqld               587  0.5%   0    0 |python2              1531   14k 461B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Apr 01 07:59:27 ubuntu dstat.sh[1332]: 01-04 07:59:27|  2   2  48  48   1| 628M  512M 89.1M 2631M|4039B 1728B|   0   512k|   0  40.0 | 492   885 |1.62 1.45 1.31|  0 1.0   0|   0     0 |mysqld               587  1.0%   0    0 |python2              1531   14k 451B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Apr 01 07:59:28 ubuntu dstat.sh[1332]: 01-04 07:59:28|  2   0  46  51   1| 628M  512M 89.2M 2631M|4890B 1728B|   0   732k|   0  45.0 | 411   891 |1.62 1.45 1.31|  0 1.0   0|   0     0 |mysqld               587  0.5%   0    0 |python2              1531   14k 461B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Apr 01 07:59:29 ubuntu dstat.sh[1332]: 01-04 07:59:29|  2   1  42  55   0| 628M  511M 89.3M 2631M|3781B 1944B|   0   564k|   0  45.0 | 378   839 |1.62 1.45 1.31|1.0   0 1.0|   0     0 |jbd2/vda1-8          292  0.5%   0    0 |python2              1531   14k 461B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:30 ubuntu dstat.sh[1332]: 01-04 07:59:30|  4   1  47  49   1| 629M  511M 89.4M 2631M|3432B 1728B|   0   564k|   0  36.0 | 415   880 |1.62 1.45 1.31|  0 1.0 2.0|   0     0 |mysqld               587  1.0%   0    0 |python2              1531   14k 457B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:31 ubuntu dstat.sh[1332]: 01-04 07:59:31|  1   1  38  60   0| 629M  511M 89.4M 2631M|3954B 1944B|   0   276k|   0  19.0 | 336   721 |1.62 1.45 1.31|  0 1.0   0|   0     0 |mysqld               587  0.5%   0    0 |python2              1531   14k 467B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:32 ubuntu dstat.sh[1332]: 01-04 07:59:32|  2   1  48  49   0| 629M  510M 89.5M 2631M|4566B 1944B|   0   328k|   0  21.0 | 352   780 |1.65 1.46 1.31|  0 1.0   0|   0     0 |beam.smp             1960 1.0%   0    0 |python2              1531   14k 451B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:33 ubuntu dstat.sh[1332]: 01-04 07:59:33|  2   2  17  79   1| 631M  508M 89.6M 2631M|  28k 2160B|   0  4052k|   0  78.0 | 522   889 |1.65 1.46 1.31|  0 3.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1531   14k 451B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:34 ubuntu dstat.sh[1332]: 01-04 07:59:34|  2   1   1  96   1| 630M  510M 89.6M 2631M|9430B 1836B|  12k 4128k|1.00  83.0 | 359   626 |1.65 1.46 1.31|  0 2.0   0|   0     0 |jbd2/vda1-8          292  0.5%   0    0 |python2              1531   14k 463B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:35 ubuntu dstat.sh[1332]: 01-04 07:59:35|  2   1   0  97   1| 630M  510M 89.6M 2631M|  11k 1890B|   0   260k|   0  8.00 | 314   585 |1.65 1.46 1.31|  0 2.0   0|   0     0 |                                        |python2              1531   14k 477B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:36 ubuntu dstat.sh[1332]: 01-04 07:59:36|  1   1  24  74   0| 629M  510M 89.6M 2631M|6438B 2106B|   0  1996k|   0  85.0 | 312   579 |1.65 1.46 1.31|  0 2.0   0|   0     0 |kworker/u4:0         2304 0.5%   0    0 |python2              1531   14k 450B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:37 ubuntu dstat.sh[1332]: 01-04 07:59:37|  2   0  49  48   1| 629M  510M 89.6M 2631M|4553B 1944B|   0  1804k|   0  55.0 | 376   571 |1.68 1.47 1.32|  0 2.0   0|   0     0 |etcd                 2437 1.0%   0    0 |python2              1531   14k 452B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Apr 01 07:59:38 ubuntu dstat.sh[1332]: 01-04 07:59:38|  1   2  35  63   0| 629M  510M 89.6M 2631M|3298B 1728B|   0  1960k|   0  80.0 | 423   562 |1.68 1.47 1.32|  0 2.0   0|   0     0 |conntrackd           162460.5%   0    0 |python2              1531   14k 468B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
