"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Jan 2020 22:36:13 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-01 22:36:13,8.723,2.749,78.795,8.741,0.993,472231936,624439296,110927872,2694053888,0,0,85596.329,1438592.475,4.494,17.672,448.849,680.901,1.500,1.390,1.170,2,0,11.679,0,0,14,3,0,4,0
13-01 22:36:14,19.697,38.889,29.293,11.616,0.505,472002560,623472640,110940160,2695155712,5318,2700,802816,126976,9,6,1520,3704,1.620,1.410,1.180,0,1,374,0,0,14,3,0,4,0
13-01 22:36:15,15.228,28.934,43.147,12.183,0.508,472055808,623198208,110940160,2695475200,4913,2430,0,28672,0,7,1334,3972,1.620,1.410,1.180,1,0,213,0,0,14,3,0,4,0
13-01 22:36:16,16.244,18.274,41.624,22.843,1.015,472322048,622764032,110940160,2695524352,3588,2430,0,9752576,0,14,1159,2154,1.620,1.410,1.180,0,1,107,0,0,14,3,0,4,0
13-01 22:36:17,2.500,1.500,48,48,0,472342528,622731264,110940160,2695536640,5392,2700,0,23855104,0,23,282,416,1.620,1.410,1.180,0,1,0,0,0,14,3,0,4,0
13-01 22:36:18,27.179,30.256,38.462,2.564,1.538,473321472,621666304,110940160,2695733248,6489,2700,0,589824,0,5,2042,5406,1.620,1.410,1.180,2,0,161,0,0,14,3,0,4,0
13-01 22:36:19,14.141,28.788,39.899,16.162,1.010,603602944,490844160,110944256,2823774208,5732,2430,131072,102400,1,2,1963,3881,1.490,1.390,1.170,1,0,214,0,0,16,5,0,4,0
13-01 22:36:20,34.826,17.413,45.274,0,2.488,620916736,473411584,110956544,2823880704,4638,2430,0,0,0,0,972,1800,1.490,1.390,1.170,1,0,102,0,0,16,5,0,7,0
13-01 22:36:21,8,2,49,40.500,0.500,626274304,467697664,111005696,2824187904,6200,2430,438272,0,34,0,517,803,1.490,1.390,1.170,0,1,0,0,0,16,5,0,7,0
13-01 22:36:22,10.714,1.020,49.490,38.265,0.510,628649984,464969728,111054848,2824486912,6293,2430,311296,0,50,0,581,902,1.490,1.390,1.170,2,0,0,0,0,16,5,0,7,0
13-01 22:36:23,28.358,4.478,46.766,17.910,2.488,647426048,445448192,111366144,2824822784,5090,2430,577536,0,99,0,695,1024,1.490,1.390,1.170,2,0,0,0,0,16,5,0,7,0
13-01 22:36:24,27.778,4.040,47.475,18.687,2.020,658833408,432988160,111386624,2825650176,7833,2700,598016,610304,44,3,713,1006,1.450,1.380,1.170,2,0,2,0,0,16,5,0,7,0
13-01 22:36:25,28.643,6.533,46.734,14.573,3.518,677412864,412823552,111525888,2826784768,6266,2430,503808,0,27,0,714,885,1.450,1.380,1.170,2,0,0,0,0,16,5,0,7,0
13-01 22:36:26,27.638,12.563,27.638,30.653,1.508,691138560,398397440,111640576,2827292672,5540,2700,0,1970176,0,52,733,1938,1.450,1.380,1.170,0,1,0,0,0,16,7,0,7,0
13-01 22:36:27,3,2,44,50,1,691433472,397934592,111751168,2827345920,4691,2430,0,675840,0,47,481,964,1.450,1.380,1.170,0,1,0,0,0,16,7,0,7,0
13-01 22:36:28,2.030,1.523,49.746,46.701,0,691535872,397484032,111853568,2827567104,5220,2700,0,696320,0,51,510,954,1.450,1.380,1.170,0,1,0,0,0,16,7,0,7,0
13-01 22:36:29,1.508,2.010,49.246,47.236,0,691838976,397037568,111943680,2827620352,5614,2430,0,540672,0,33,491,833,1.420,1.380,1.170,0,1,0,0,0,16,7,0,7,0
13-01 22:36:30,3.015,1.508,49.246,45.729,0.503,692092928,396292096,112136192,2827886592,5104,2430,0,1134592,0,83,576,1107,1.420,1.380,1.170,0,1,0,0,0,16,7,0,7,0
13-01 22:36:31,2.500,1.500,36.500,58,1.500,692211712,395968512,112214016,2827976704,5694,2592,0,1388544,0,76,556,871,1.420,1.380,1.170,0,2,0,0,0,16,7,0,7,0
13-01 22:36:32,2.525,2.525,48.485,45.455,1.010,692543488,395210752,112402432,2828210176,5371,2538,0,2899968,0,106,642,1100,1.420,1.380,1.170,0,1,0,0,0,16,7,0,7,0
13-01 22:36:33,8.500,3,43,45.500,0,692719616,394641408,112570368,2828423168,4265,2430,0,1040384,0,75,550,1035,1.420,1.380,1.170,1,1,0,0,0,16,7,0,7,0
13-01 22:36:34,14.356,13.861,37.624,33.168,0.990,693510144,393654272,112697344,2828484608,5295,2430,0,557056,0,53,630,1166,1.380,1.370,1.170,1,1,2,0,0,16,7,0,7,0
13-01 22:36:35,10.500,7,37.500,43,2,693997568,392957952,112803840,2828587008,6669,2430,0,421888,0,42,551,1049,1.380,1.370,1.170,1,1,0,0,0,16,7,0,7,0
13-01 22:36:36,9.091,5.556,38.384,45.455,1.515,694353920,392257536,112996352,2828726272,4919,2472,0,765952,0,75,578,1364,1.380,1.370,1.170,1,1,0,0,0,16,7,0,7,0
13-01 22:36:37,12.808,10.345,35.468,40.394,0.985,694644736,391593984,113250304,2828836864,4219,2430,0,1101824,0,99,671,1396,1.380,1.370,1.170,1,1,0,0,0,16,7,0,7,0
13-01 22:36:38,8.543,9.045,45.226,36.181,1.005,694902784,391114752,113418240,2828886016,5897,2430,0,757760,0,68,570,1253,1.380,1.370,1.170,0,1,0,0,0,16,7,0,7,0
13-01 22:36:39,7.463,6.468,47.264,37.811,0.995,695042048,390791168,113610752,2828861440,5802,2430,0,843776,0,74,548,1137,1.510,1.400,1.180,2,1,0,0,0,16,7,0,7,0
13-01 22:36:40,9.645,9.137,49.239,30.964,1.015,695357440,390348800,113786880,2828808192,4561,2430,0,909312,0,67,600,1237,1.510,1.400,1.180,0,1,0,0,0,16,7,0,7,0
13-01 22:36:41,7.463,6.468,38.806,46.269,0.995,695656448,389869568,113893376,2828877824,6744,2700,0,499712,0,46,494,959,1.510,1.400,1.180,0,1,0,0,0,16,7,0,7,0
13-01 22:36:42,25,26.500,0.500,47.500,0.500,695549952,389935104,113909760,2828902400,7232,2430,0,745472,0,21,530,712,1.510,1.400,1.180,1,4,0,0,0,16,7,0,6,0
13-01 22:36:43,28.500,23.500,0,47.500,0.500,695832576,389709824,113913856,2828840960,5451,2430,0,1150976,0,105,586,663,1.510,1.400,1.180,1,4,0,0,0,16,7,0,6,0
13-01 22:36:44,24.500,28,20,27,0.500,695881728,389644288,113917952,2828853248,4676,2700,0,2523136,0,128,706,692,2.030,1.510,1.220,1,2,2,0,0,16,7,0,6,0
13-01 22:36:45,17.327,13.366,4.950,63.861,0.495,695971840,389513216,113922048,2828890112,4284,2700,0,1691648,0,122,517,736,2.030,1.510,1.220,0,4,0,0,0,16,7,0,6,0
13-01 22:36:46,2.020,1.515,45.960,50,0.505,695787520,388870144,113991680,2829647872,6311,2430,24576,3080192,1,54,526,1127,2.030,1.510,1.220,0,1,0,0,0,16,7,0,6,0
13-01 22:36:47,3.061,3.061,40.816,53.061,0,696008704,388390912,114122752,2829770752,5095,2700,0,4722688,0,116,675,1382,2.030,1.510,1.220,2,0,0,0,0,16,7,0,6,0
13-01 22:36:48,9,4.500,42.500,43.500,0.500,696430592,387760128,114249728,2829848576,6238,2700,0,991232,0,60,752,1931,2.030,1.510,1.220,0,1,0,0,0,16,7,0,6,0
13-01 22:36:49,8.081,6.566,48.485,36.869,0,696926208,387121152,114462720,2829770752,5085,2700,0,1323008,0,99,628,1694,2.030,1.520,1.220,1,1,0,0,0,16,7,0,6,0
13-01 22:36:50,6.599,4.569,39.086,49.746,0,697073664,386744320,114634752,2829828096,6213,2700,0,954368,0,75,594,1442,2.030,1.520,1.220,2,1,0,0,0,16,7,0,6,0
13-01 22:36:51,5,2,30,62.500,0.500,697110528,386486272,114704384,2829930496,7540,2430,0,454656,0,23,510,1340,2.030,1.520,1.220,0,2,0,0,0,16,7,0,6,0
13-01 22:36:52,2.030,1.523,43.655,51.269,1.523,698277888,383410176,114786304,2831757312,6093,2430,0,630784,0,45,570,1011,2.030,1.520,1.220,1,0,0,0,0,16,7,0,6,0
13-01 22:36:53,1.010,4.040,48.990,44.949,1.010,698241024,316280832,114786304,2897100800,4211,2430,0,24379392,0,23,330,603,2.030,1.520,1.220,0,2,0,0,0,16,7,0,6,0
13-01 22:36:54,2.475,1.485,48.515,47.030,0.495,698449920,316059648,114786304,2897113088,5171,2430,0,14680064,0,14,350,685,2.030,1.520,1.230,1,2,2,0,0,16,7,0,6,0
13-01 22:36:55,1.515,1.010,46.465,50.505,0.505,698380288,316125184,114790400,2897113088,4649,2430,0,28229632,0,37,356,710,2.030,1.520,1.230,0,2,0,0,0,16,7,0,6,0
13-01 22:36:56,2.513,2.513,47.236,46.734,1.005,698408960,315645952,114896896,2897448960,4535,2700,0,1806336,0,91,512,980,2.030,1.520,1.230,0,2,0,0,0,16,7,0,6,0
13-01 22:36:57,2.985,1.493,45.771,47.264,2.488,698441728,315490304,114974720,2897494016,5375,2214,0,479232,0,38,414,808,2.030,1.520,1.230,2,0,0,0,0,16,7,0,6,0
13-01 22:36:58,3.483,2.488,45.771,46.269,1.990,698941440,314724352,115089408,2897637376,6973,2646,0,770048,0,51,543,1016,2.030,1.520,1.230,2,1,0,0,0,16,7,0,6,0
13-01 22:36:59,4.040,4.545,40.909,47.475,3.030,698896384,314417152,115220480,2897825792,7826,2430,0,847872,0,65,694,1246,2.020,1.530,1.230,0,1,0,0,0,16,7,0,6,0
13-01 22:37:00,3,1,26.500,69,0.500,699260928,314032128,115253248,2897813504,5486,2472,0,217088,0,14,431,735,2.020,1.530,1.230,0,2,0,0,0,16,7,0,6,0
13-01 22:37:01,1.500,1.500,34,61.500,1.500,699084800,314036224,115281920,2897952768,4585,2430,0,3022848,0,23,502,941,2.020,1.530,1.230,0,1,0,0,0,16,7,0,6,0
13-01 22:37:02,3.015,1.508,36.683,58.291,0.503,699256832,313802752,115314688,2897973248,6821,2700,0,3514368,0,35,495,943,2.020,1.530,1.230,2,3,0,0,0,16,7,0,7,0
13-01 22:37:03,7.538,6.533,38.191,45.729,2.010,699600896,313233408,115453952,2898055168,3857,2160,0,1146880,0,76,760,1268,2.020,1.530,1.230,0,1,0,0,0,16,7,0,6,0
13-01 22:37:04,3.518,2.513,45.226,45.729,3.015,699740160,312832000,115613696,2898149376,4564,2472,0,876544,0,69,778,1356,1.940,1.520,1.230,0,1,2,0,0,16,7,0,6,0
13-01 22:37:05,6.436,5.941,39.604,45.050,2.970,699965440,312344576,115720192,2898300928,4642,2430,0,630784,0,49,608,1049,1.940,1.520,1.230,0,1,0,0,0,16,7,0,4,0
13-01 22:37:06,2.475,2.970,47.030,44.059,3.465,700092416,312020992,115826688,2898374656,4541,2484,0,704512,0,47,529,930,1.940,1.520,1.230,2,1,0,0,0,16,7,0,4,0
13-01 22:37:07,13.065,15.578,31.658,38.191,1.508,700223488,311734272,115900416,2898452480,5139,2646,0,421888,0,33,607,1016,1.940,1.520,1.230,0,1,0,0,0,16,7,0,4,0
13-01 22:37:08,3.518,3.518,46.734,45.729,0.503,700170240,311705600,115982336,2898448384,5697,2430,0,495616,0,45,564,1029,1.940,1.520,1.230,0,1,0,0,0,16,7,0,4,0
13-01 22:37:09,14.563,13.107,36.408,31.553,4.369,700555264,311320576,116109312,2898321408,4719,2214,0,741376,0,59,740,1495,1.950,1.530,1.230,2,1,0,0,0,16,7,0,4,0
13-01 22:37:10,5.528,6.030,37.688,44.724,6.030,700506112,311164928,116240384,2898391040,7487,2740,0,823296,0,63,703,1503,1.950,1.530,1.230,0,1,0,0,0,16,7,0,4,0
13-01 22:37:11,3.980,3.980,42.786,45.274,3.980,700850176,310464512,116363264,2898612224,7214,2700,0,876544,0,58,654,1291,1.950,1.530,1.230,0,1,0,0,0,16,7,0,4,0
13-01 22:37:12,11.940,10.945,29.851,45.274,1.990,700755968,310530048,116445184,2898558976,5954,2430,0,565248,0,44,607,1087,1.950,1.530,1.230,2,1,0,0,0,16,7,0,4,0
13-01 22:37:13,6,3.500,33,57,0.500,700989440,310243328,116494336,2898563072,5854,2700,0,405504,0,28,528,877,1.950,1.530,1.230,0,1,0,0,0,16,7,0,4,0
13-01 22:37:14,16.418,10.448,34.826,36.816,1.493,701100032,310054912,116584448,2898546688,5563,2430,0,540672,0,46,693,1168,2.030,1.560,1.240,0,1,2,0,0,16,7,0,4,0
13-01 22:37:15,8.500,6,38.500,46.500,0.500,701321216,309608448,116719616,2898628608,4908,2430,0,745472,0,60,612,1155,2.030,1.560,1.240,0,1,0,0,0,16,7,0,4,0
13-01 22:37:16,3.518,3.015,45.729,46.734,1.005,701374464,309452800,116801536,2898644992,5414,2700,0,1073152,0,85,538,945,2.030,1.560,1.240,0,2,0,0,0,16,7,0,4,0
13-01 22:37:17,3.500,1.500,48,46.500,0.500,701534208,309288960,116854784,2898595840,3953,2430,0,688128,0,90,465,951,2.030,1.560,1.240,1,1,0,0,0,16,7,0,4,0
13-01 22:37:18,11.735,11.224,34.184,41.837,1.020,701517824,309166080,116994048,2898591744,5255,2430,0,884736,0,73,650,1267,2.030,1.560,1.240,0,1,0,0,0,16,7,0,4,0
13-01 22:37:19,3.980,2.488,36.318,55.224,1.990,701726720,308813824,117145600,2898583552,5699,2430,0,749568,0,65,542,1132,2.190,1.600,1.260,2,1,0,0,0,16,7,0,4,0
13-01 22:37:20,3.902,1.951,43.415,45.366,5.366,701612032,308736000,117198848,2898698240,3968,2430,0,491520,0,31,451,837,2.190,1.600,1.260,1,0,0,0,0,16,7,0,4,0
13-01 22:37:21,4.878,2.927,40.976,46.829,4.390,701984768,308289536,117313536,2898657280,5859,2430,0,638976,0,49,536,1050,2.190,1.600,1.260,0,1,0,0,0,16,7,0,1,0
13-01 22:37:22,2.513,2.010,46.231,47.739,1.508,701853696,308133888,117432320,2898817024,6747,2430,0,790528,0,63,551,1117,2.190,1.600,1.260,0,1,0,0,0,16,7,0,1,0
13-01 22:37:23,15.842,8.911,37.129,36.139,1.980,702087168,307908608,117563392,2898669568,6024,2646,0,970752,0,76,933,2284,2.190,1.600,1.260,0,1,0,0,0,16,7,0,1,0
13-01 22:37:24,3.960,2.475,35.149,55.446,2.970,702021632,307871744,117575680,2898759680,5933,2484,0,204800,0,6,459,812,2.090,1.590,1.260,1,2,2,0,0,16,7,0,1,0
13-01 22:37:25,3,1.500,0,94.500,1,702070784,307814400,117575680,2898767872,4702,2160,0,0,0,0,370,650,2.090,1.590,1.260,0,3,0,0,0,16,7,0,1,0
